Genus,Class,Order,Family
Ferriphaselus,Betaproteobacteria,Nitrosomonadales,Gallionellaceae
Ferroglobus,Archaeoglobi,Archaeoglobales,Archaeoglobaceae
Ferroplasma,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae
Ferrovibrio,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
Ferruginibacter,Chitinophagia,Chitinophagales,Chitinophagaceae
Fervidibacillus,Bacilli,Bacillales,Bacillaceae
Fervidicoccus,Thermoprotei,Fervidicoccales,Fervidicoccaceae
Fervidobacterium,Thermotogae,Thermotogales,Fervidobacteriaceae
Fibrobacter,Fibrobacteria,Fibrobacterales,Fibrobacteraceae
Fictibacillus,Bacilli,Bacillales,Fictibacillaceae
Fidelibacter,Fidelibacteria,Fidelibacterales,Fidelibacteraceae
Filifactor,Clostridia,Peptostreptococcales,Filifactoraceae
Filimonas,Chitinophagia,Chitinophagales,Chitinophagaceae
Filomicrobium,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae
Fimbriimonas,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae
Finegoldia,Tissierellia,Tissierellales,Peptoniphilaceae
Fischerella,Cyanophyceae,Nostocales,Hapalosiphonaceae
Flagellatimonas,Gammaproteobacteria,Nevskiales,Nevskiaceae
Flagellimonas,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Flammeovirga,Cytophagia,Cytophagales,Flammeovirgaceae
Flaviflexus,Actinomycetes,Actinomycetales,Actinomycetaceae
Flavihumibacter,Chitinophagia,Chitinophagales,Chitinophagaceae
Flaviramulus,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Flavisolibacter,Chitinophagia,Chitinophagales,Chitinophagaceae
Flavivirga,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Flavobacterium,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Flavonifractor,Clostridia,Eubacteriales,Oscillospiraceae
Flexistipes,Deferribacteres,Deferribacterales,Flexistipitaceae
Flintibacter,Clostridia,Eubacteriales,Unknown
Flocculibacter,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae
Floricoccus,Bacilli,Lactobacillales,Streptococcaceae
Fluviibacter,Betaproteobacteria,Rhodocyclales,Fluviibacteraceae
Fluviicola,Flavobacteriia,Flavobacteriales,Crocinitomicaceae
Fodinisporobacter,Bacilli,Bacillales,Alicyclobacillaceae
Fontisphaera,Verrucomicrobiia,Limisphaerales,Fontisphaeraceae
Fontisubflavum,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Formicincola,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
Formosa,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Francisella,Gammaproteobacteria,Thiotrichales,Francisellaceae
Franconibacter,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Frankia,Actinomycetes,Frankiales,Frankiaceae
Frateuria,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae
Frederiksenia,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
Fretibacter,Alphaproteobacteria,Maricaulales,Robiginitomaculaceae
Fretibacterium,Synergistia,Synergistales,Aminobacteriaceae
Frigidibacter,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Frigoribacterium,Actinomycetes,Micrococcales,Microbacteriaceae
Frigoriglobus,Planctomycetia,Gemmatales,Gemmataceae
Frischella,Gammaproteobacteria,Orbales,Orbaceae
Frondihabitans,Actinomycetes,Micrococcales,Microbacteriaceae
Fructilactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Fructobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Fuerstiella,Planctomycetia,Planctomycetales,Planctomycetaceae
Fulvitalea,Cytophagia,Cytophagales,Persicobacteraceae
Fulvivirga,Cytophagia,Cytophagales,Fulvivirgaceae
Fundicoccus,Bacilli,Lactobacillales,Aerococcaceae
Furfurilactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Fuscovulum,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Fusobacterium,Fusobacteriia,Fusobacteriales,Fusobacteriaceae
Galbibacter,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Gallaecimonas,Gammaproteobacteria,Enterobacterales,Gallaecimonadaceae
Gallibacterium,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
Gallionella,Betaproteobacteria,Nitrosomonadales,Gallionellaceae
Gaopeijia,Longimicrobiia,Gaopeijiales,Gaopeijiaceae
Gaoshiqia,Bacteroidia,Marinilabiliales,Prolixibacteraceae
Gardnerella,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae
Geitlerinema,Cyanophyceae,Geitlerinematales,Geitlerinemataceae
Gelria,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae
Gemella,Bacilli,Bacillales,Gemellaceae
Geminocystis,Cyanophyceae,Chroococcales,Geminocystaceae
Gemmata,Planctomycetia,Gemmatales,Gemmataceae
Gemmatimonas,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae
Gemmatirosa,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae
Gemmobacter,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Geoalkalibacter,Desulfuromonadia,Desulfuromonadales,Geoalkalibacteraceae
Geobacillus,Bacilli,Bacillales,Anoxybacillaceae
Geobacter,Desulfuromonadia,Geobacterales,Geobacteraceae
Geochorda,Limnochordia,Limnochordales,Geochordaceae
Geodermatophilus,Actinomycetes,Geodermatophilales,Geodermatophilaceae
Geoglobus,Archaeoglobi,Archaeoglobales,Archaeoglobaceae
Geomonas,Desulfuromonadia,Geobacterales,Geobacteraceae
Georgenia,Actinomycetes,Micrococcales,Bogoriellaceae
Georhizobium,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae
Geosporobacter,Clostridia,Peptostreptococcales,Thermotaleaceae
Geotalea,Desulfuromonadia,Geobacterales,Geobacteraceae
Geothrix,Holophagae,Holophagales,Holophagaceae
Geovibrio,Deferribacteres,Deferribacterales,Geovibrionaceae
Gephyromycinifex,Actinomycetes,Micrococcales,Dermatophilaceae
Gibbsiella,Gammaproteobacteria,Enterobacterales,Yersiniaceae
Gilliamella,Gammaproteobacteria,Orbales,Orbaceae
Gilvimarinus,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
Gimesia,Planctomycetia,Planctomycetales,Planctomycetaceae
Glaciihabitans,Actinomycetes,Micrococcales,Microbacteriaceae
Glaciimonas,Betaproteobacteria,Burkholderiales,Oxalobacteraceae
Glaesserella,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
Gleimia,Actinomycetes,Actinomycetales,Actinomycetaceae
Globicatella,Bacilli,Lactobacillales,Aerococcaceae
Gloeobacter,Cyanophyceae,Gloeobacterales,Gloeobacteraceae
Gloeocapsa,Cyanophyceae,Chroococcales,Chroococcaceae
Gloeocapsopsis,Cyanophyceae,Chroococcales,Chroococcaceae
Gloeothece,Cyanophyceae,Chroococcales,Aphanothecaceae
Gluconacetobacter,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
Gluconobacter,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
Glutamicibacter,Actinomycetes,Micrococcales,Micrococcaceae
Glycocaulis,Alphaproteobacteria,Maricaulales,Maricaulaceae
Gordonia,Actinomycetes,Mycobacteriales,Gordoniaceae
Gordonibacter,Coriobacteriia,Eggerthellales,Eggerthellaceae
Gottfriedia,Bacilli,Bacillales,Bacillaceae
Gottschalkia,Tissierellia,Tissierellales,Gottschalkiaceae
Gracilibacillus,Bacilli,Bacillales,Bacillaceae
Gracilinema,Spirochaetia,Spirochaetales,Breznakiellaceae
Granulibacter,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
Granulicatella,Bacilli,Lactobacillales,Carnobacteriaceae
Granulicella,Terriglobia,Terriglobales,Acidobacteriaceae
Granulosicoccus,Gammaproteobacteria,Chromatiales,Granulosicoccaceae
Grimontia,Gammaproteobacteria,Vibrionales,Vibrionaceae
Gryllotalpicola,Actinomycetes,Micrococcales,Microbacteriaceae
Gudongella,Tissierellia,Tissierellales,Tissierellaceae
Gulosibacter,Actinomycetes,Micrococcales,Microbacteriaceae
Guptibacillus,Bacilli,Bacillales,Guptibacillaceae
Guyparkeria,Gammaproteobacteria,Chromatiales,Thioalkalibacteraceae
Gymnodinialimonas,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Gynuella,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae
Haematobacter,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Haematospirillum,Alphaproteobacteria,Rhodospirillales,Novispirillaceae
Haemophilus,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
Hafnia,Gammaproteobacteria,Enterobacterales,Hafniaceae
Hahella,Gammaproteobacteria,Oceanospirillales,Hahellaceae
Haladaptatus,Halobacteria,Halobacteriales,Haladaptataceae
Halalkaliarchaeum,Halobacteria,Halobacteriales,Haloferacaceae
Halalkalibacter,Bacilli,Bacillales,Bacillaceae
Halalkalibacterium (ex Joshi et al. 2022),Bacilli,Bacillales,Bacillaceae
Halalkalicoccus,Halobacteria,Halobacteriales,Halococcaceae
Halanaeroarchaeum,Halobacteria,Halobacteriales,Halobacteriaceae
Halanaerobium,Clostridia,Halanaerobiales,Halanaerobiaceae
Halapricum,Halobacteria,Halobacteriales,Haloarculaceae
Halarchaeum,Halobacteria,Halobacteriales,Halobacteriaceae
Halarcobacter,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae
Haliangium,Unknown,Haliangiales,Kofleriaceae
Halioglobus,Gammaproteobacteria,Cellvibrionales,Halieaceae
Haliovirga,Fusobacteriia,Fusobacteriales,Haliovirgaceae
Halioxenophilus,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
Haliscomenobacter,Saprospiria,Saprospirales,Haliscomenobacteraceae
Haloarcula,Halobacteria,Halobacteriales,Haloarculaceae
Halobacillus,Bacilli,Bacillales,Bacillaceae
Halobacteriovorax,Bacteriovoracia,Bacteriovoracales,Halobacteriovoraceae
Halobacterium,Halobacteria,Halobacteriales,Halobacteriaceae
Halobacteroides,Clostridia,Halanaerobiales,Halobacteroidaceae
Halobaculum,Halobacteria,Halobacteriales,Haloferacaceae
Halobellus,Halobacteria,Halobacteriales,Haloferacaceae
Halocatena,Halobacteria,Halobacteriales,Haloarculaceae
Halocella,Clostridia,Halanaerobiales,Halanaerobiaceae
Halococcoides,Halobacteria,Halobacteriales,Haloarculaceae
Halococcus,Halobacteria,Halobacteriales,Halococcaceae
Halodesulfurarchaeum,Halobacteria,Halobacteriales,Halobacteriaceae
Haloferax,Halobacteria,Halobacteriales,Haloferacaceae
Haloferula,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae
Halogeometricum,Halobacteria,Halobacteriales,Haloferacaceae
Haloglomus,Halobacteria,Halobacteriales,Haloarculaceae
Halohasta,Halobacteria,Halobacteriales,Haloferacaceae
Haloimpatiens,Clostridia,Eubacteriales,Clostridiaceae
Halolamina,Halobacteria,Halobacteriales,Haloferacaceae
Halomarina,Halobacteria,Halobacteriales,Haloarculaceae
Halomicrobium,Halobacteria,Halobacteriales,Haloarculaceae
Halomicrococcus,Halobacteria,Halobacteriales,Haladaptataceae
Halomicronema,Cyanophyceae,Nodosilineales,Nodosilineaceae
Halomonas,Gammaproteobacteria,Oceanospirillales,Halomonadaceae
Halomontanus,Halobacteria,Halobacteriales,Natrialbaceae
Halopenitus,Halobacteria,Halobacteriales,Haloferacaceae
Halopiger,Halobacteria,Halobacteriales,Natrialbaceae
Haloplanus,Halobacteria,Halobacteriales,Haloferacaceae
Haloprofundus,Halobacteria,Halobacteriales,Haloferacaceae
Halopseudomonas,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
Haloquadratum,Halobacteria,Halobacteriales,Haloferacaceae
Halorarius,Halobacteria,Halobacteriales,Haloarculaceae
Halorarum,Halobacteria,Halobacteriales,Haloferacaceae
Halorhabdus,Halobacteria,Halobacteriales,Haloarculaceae
Halorhodospira,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae
Halorientalis,Halobacteria,Halobacteriales,Haloarculaceae
Halorubrum,Halobacteria,Halobacteriales,Haloferacaceae
Halorussus,Halobacteria,Halobacteriales,Haladaptataceae
Halosegnis,Halobacteria,Halobacteriales,Haloarculaceae
Halosimplex,Halobacteria,Halobacteriales,Haloarculaceae
Halosolutus,Halobacteria,Halobacteriales,Natrialbaceae
Halosquirtibacter,Bacteroidia,Marinilabiliales,Prolixibacteraceae
Halostagnicola,Halobacteria,Halobacteriales,Natrialbaceae
Halotalea,Gammaproteobacteria,Oceanospirillales,Halomonadaceae
Haloterrigena,Halobacteria,Halobacteriales,Natrialbaceae
Halothece,Cyanophyceae,Chroococcales,Halothecacae
Halothermothrix,Clostridia,Halanaerobiales,Halothermotrichaceae
Halothiobacillus,Gammaproteobacteria,Chromatiales,Halothiobacillaceae
Halotia,Cyanophyceae,Nostocales,Nodulariaceae
Halovalidus,Halobacteria,Halobacteriales,Natrialbaceae
Halovenus,Halobacteria,Halobacteriales,Haloarculaceae
Halovivax,Halobacteria,Halobacteriales,Natrialbaceae
Hankyongella,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae
Haploplasma,Mollicutes,Acholeplasmatales,Acholeplasmataceae
Hartmannibacter,Alphaproteobacteria,Hyphomicrobiales,Pleomorphomonadaceae
Hathewaya,Clostridia,Eubacteriales,Clostridiaceae
Helcobacillus,Actinomycetes,Micrococcales,Dermabacteraceae
Helcococcus,Tissierellia,Tissierellales,Peptoniphilaceae
Helicobacter,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae
Helicovermis,Clostridia,Unknown,Unknown
Heliomicrobium,Clostridia,Eubacteriales,Heliobacteriaceae
Heliorestis,Clostridia,Eubacteriales,Heliobacteriaceae
Herbaspirillum,Betaproteobacteria,Burkholderiales,Oxalobacteraceae
Herbiconiux,Actinomycetes,Micrococcales,Microbacteriaceae
Herbinix,Clostridia,Lachnospirales,Lachnospiraceae
Herminiimonas,Betaproteobacteria,Burkholderiales,Oxalobacteraceae
Heyndrickxia,Bacilli,Bacillales,Bacillaceae
Hippea,Desulfurellia,Desulfurellales,Hippeaceae
Hirschia,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae
Histophilus,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
Hoeflea,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae
Holdemania,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae
Homoserinibacter,Actinomycetes,Micrococcales,Microbacteriaceae
Horticoccus,Opitutia,Opitutales,Opitutaceae
Hoylesella,Bacteroidia,Bacteroidales,Prevotellaceae
Hoyosella,Actinomycetes,Mycobacteriales,Hoyosellaceae
Hujiaoplasma,Candidatus Izimaplasma,Candidatus Izemoplasmatales,Hujiaoplasmataceae
Humibacillus,Actinomycetes,Micrococcales,Intrasporangiaceae
Humibacter,Actinomycetes,Micrococcales,Microbacteriaceae
Humisphaera,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae
Hungatella,Clostridia,Lachnospirales,Lachnospiraceae
Hwangdonia,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Hydrocarboniclastica,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
Hydrogenibacillus,Bacilli,Bacillales,Bacillales Family X. Incertae Sedis
Hydrogenimonas,Epsilonproteobacteria,Campylobacterales,Hydrogenimonadaceae
Hydrogenobacter,Aquificia,Aquificales,Aquificaceae
Hydrogenobaculum,Aquificia,Aquificales,Aquificaceae
Hydrogenophaga,Betaproteobacteria,Burkholderiales,Comamonadaceae
Hydrogenophilus,Hydrogenophilia,Hydrogenophilales,Hydrogenophilaceae
Hydrogenovibrio,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae
Hymenobacter,Cytophagia,Cytophagales,Hymenobacteraceae
Hypericibacter,Alphaproteobacteria,Rhodospirillales,Dongiaceae
Hyperthermus,Thermoprotei,Desulfurococcales,Pyrodictiaceae
Hyphobacterium,Alphaproteobacteria,Maricaulales,Maricaulaceae
Hyphococcus,Alphaproteobacteria,Parvularculales,Parvularculaceae
Hyphomicrobium,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae
Hyphomonas,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae
Iamia,Acidimicrobiia,Acidimicrobiales,Iamiaceae
Ichthyobacterium,Flavobacteriia,Flavobacteriales,Ichthyobacteriaceae
Ideonella,Betaproteobacteria,Burkholderiales,Sphaerotilaceae
Idiomarina,Gammaproteobacteria,Alteromonadales,Idiomarinaceae
Ignatzschineria,Gammaproteobacteria,Cardiobacteriales,Ignatzschineriaceae
Ignavibacterium,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae
Ignavigranum,Bacilli,Lactobacillales,Aerococcaceae
Ignicoccus,Thermoprotei,Desulfurococcales,Desulfurococcaceae
Ilumatobacter,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae
Ilyobacter,Fusobacteriia,Fusobacteriales,Fusobacteriaceae
Immundisolibacter,Gammaproteobacteria,Immundisolibacterales,Immundisolibacteraceae
Imperialibacter,Cytophagia,Cytophagales,Flammeovirgaceae
Imtechella,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Indioceanicola,Alphaproteobacteria,Rhodospirillales,Azospirillaceae
Infirmifilum,Thermoprotei,Thermofilales,Thermofilaceae
Inhella,Betaproteobacteria,Burkholderiales,Sphaerotilaceae
Intestinibacillus,Clostridia,Eubacteriales,Butyricicoccaceae
Intestinibacter,Clostridia,Peptostreptococcales,Peptostreptococcaceae
Intestinibaculum,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae
Intestinimonas,Clostridia,Eubacteriales,Unknown
Intrasporangium,Actinomycetes,Micrococcales,Intrasporangiaceae
Iocasia,Clostridia,Halanaerobiales,Halanaerobiaceae
Iodobacter,Betaproteobacteria,Neisseriales,Chitinibacteraceae
Isoalcanivorax,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae
Isoptericola,Actinomycetes,Micrococcales,Promicromonosporaceae
Isosphaera,Planctomycetia,Isosphaerales,Isosphaeraceae
Janibacter,Actinomycetes,Micrococcales,Intrasporangiaceae
Jannaschia,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Janthinobacterium,Betaproteobacteria,Burkholderiales,Oxalobacteraceae
Jatrophihabitans,Actinomycetes,Jatrophihabitantales,Jatrophihabitantaceae
Jejubacter,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Jeongeupia,Betaproteobacteria,Neisseriales,Chitinibacteraceae
Jeotgalibaca,Bacilli,Lactobacillales,Carnobacteriaceae
Jeotgalibacillus,Bacilli,Bacillales,Caryophanaceae
Jeotgalicoccus,Bacilli,Bacillales,Staphylococcaceae
Jiella,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae
Jonesia,Actinomycetes,Micrococcales,Jonesiaceae
Kaistella,Flavobacteriia,Flavobacteriales,Weeksellaceae
Kaistia,Alphaproteobacteria,Hyphomicrobiales,Kaistiaceae
Kangiella,Gammaproteobacteria,Kangiellales,Kangiellaceae
Kaustia,Alphaproteobacteria,Hyphomicrobiales,Parvibaculaceae
Keratinibaculum,Tissierellia,Tissierellales,Tepidimicrobiaceae
Kerstersia,Betaproteobacteria,Burkholderiales,Alcaligenaceae
Ketobacter,Gammaproteobacteria,Pseudomonadales,Ketobacteraceae
Ketogulonicigenium,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Kibdelosporangium,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae
Kineobactrum,Gammaproteobacteria,Cellvibrionales,Halieaceae
Kineococcus,Actinomycetes,Kineosporiales,Kineosporiaceae
Kineothrix,Clostridia,Lachnospirales,Lachnospiraceae
Kingella,Betaproteobacteria,Neisseriales,Neisseriaceae
Kiritimatiella,Kiritimatiellia,Kiritimatiellales,Kiritimatiellaceae
Kitasatospora,Actinomycetes,Kitasatosporales,Streptomycetaceae
Klebsiella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Kluyvera,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Knoellia,Actinomycetes,Micrococcales,Intrasporangiaceae
Kocuria,Actinomycetes,Micrococcales,Micrococcaceae
Koinonema,Cyanophyceae,Oscillatoriales,Oscillatoriaceae
Koleobacter,Clostridia,Koleobacterales,Koleobacteraceae
Kolteria,Planctomycetia,Unknown,Unknown
Komagataeibacter,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
Kordia,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Kordiimonas,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae
Kosakonia,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Kosmotoga,Thermotogae,Kosmotogales,Kosmotogaceae
Kovacikia,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae
Kozakia,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
Krasilnikovia,Actinomycetes,Micromonosporales,Micromonosporaceae
Kribbella,Actinomycetes,Propionibacteriales,Kribbellaceae
Kroppenstedtia,Bacilli,Bacillales,Thermoactinomycetaceae
Ktedonosporobacter,Ktedonobacteria,Ktedonobacterales,Ktedonosporobacteraceae
Kurthia,Bacilli,Bacillales,Caryophanaceae
Kushneria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae
Kutzneria,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae
Kyrpidia,Bacilli,Bacillales,Alicyclobacillaceae
Kytococcus,Actinomycetes,Micrococcales,Kytococcaceae
Labilibaculum,Bacteroidia,Marinilabiliales,Marinifilaceae
Labilithrix,Unknown,Polyangiales,Labilitrichaceae
Labrenzia,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae
Labrys,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae
Laceyella,Bacilli,Bacillales,Thermoactinomycetaceae
Lachnoanaerobaculum,Clostridia,Lachnospirales,Lachnospiraceae
Lachnoclostridium,Clostridia,Lachnospirales,Lachnospiraceae
Lachnospira,Clostridia,Lachnospirales,Lachnospiraceae
Lacibacter,Chitinophagia,Chitinophagales,Chitinophagaceae
Lacimicrobium,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
Lacinutrix,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Lacipirellula,Planctomycetia,Pirellulales,Lacipirellulaceae
Lacrimispora,Clostridia,Lachnospirales,Lachnospiraceae
Lacticaseibacillus,Bacilli,Lactobacillales,Lactobacillaceae
Lactiplantibacillus,Bacilli,Lactobacillales,Lactobacillaceae
Lactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Lactococcus,Bacilli,Lactobacillales,Streptococcaceae
Lactonifactor,Clostridia,Eubacteriales,Clostridiaceae
Lacunisphaera,Opitutia,Opitutales,Opitutaceae
Lancefieldella,Coriobacteriia,Coriobacteriales,Atopobiaceae
Lapidilactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Laribacter,Betaproteobacteria,Neisseriales,Aquaspirillaceae
Larkinella,Cytophagia,Cytophagales,Spirosomataceae
Latilactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Lautropia,Betaproteobacteria,Burkholderiales,Burkholderiaceae
Lawsonella,Actinomycetes,Mycobacteriales,Lawsonellaceae
Lawsonia,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae
Lawsonibacter,Clostridia,Eubacteriales,Oscillospiraceae
Leadbettera,Spirochaetia,Spirochaetales,Breznakiellaceae
Leadbetterella,Cytophagia,Cytophagales,Leadbetterellaceae
Leclercia,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Lederbergia,Bacilli,Bacillales,Bacillaceae
Leeuwenhoekiella,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Legionella,Gammaproteobacteria,Legionellales,Legionellaceae
Leifsonia,Actinomycetes,Micrococcales,Microbacteriaceae
Leisingera,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Lelliottia,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Leminorella,Gammaproteobacteria,Enterobacterales,Budviciaceae
Lentibacillus,Bacilli,Bacillales,Bacillaceae
Lentibacter,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Lentilactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Lentilitoribacter,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae
Lentisphaera,Lentisphaeria,Lentisphaerales,Lentisphaeraceae
Lentzea,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae
Leptodesmis,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae
Leptogranulimonas,Coriobacteriia,Coriobacteriales,Kribbibacteriaceae
Leptolyngbya,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae
Leptospira,Spirochaetia,Leptospirales,Leptospiraceae
Leptospirillum,Nitrospiria,Nitrospirales,Nitrospiraceae
Leptothermofonsia,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae
Leptothrix,Betaproteobacteria,Burkholderiales,Sphaerotilaceae
Leptotrichia,Fusobacteriia,Fusobacteriales,Leptotrichiaceae
Leucobacter,Actinomycetes,Micrococcales,Microbacteriaceae
Leuconostoc,Bacilli,Lactobacillales,Lactobacillaceae
Levilactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Lewinella,Saprospiria,Saprospirales,Lewinellaceae
Liberibacter,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae
Lichenicola,Alphaproteobacteria,Acetobacterales,Acetobacteraceae
Lichenihabitans,Alphaproteobacteria,Hyphomicrobiales,Lichenihabitantaceae
Ligilactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Lignipirellula,Planctomycetia,Pirellulales,Pirellulaceae
Limibacterium,Bacteroidia,Bacteroidales,Dysgonomonadaceae
Limihaloglobus,Phycisphaerae,Sedimentisphaerales,Sedimentisphaeraceae
Limimaricola,Alphaproteobacteria,Rhodobacterales,Paracoccaceae
Limnobacter,Betaproteobacteria,Burkholderiales,Burkholderiaceae
Limnobaculum,Gammaproteobacteria,Enterobacterales,Budviciaceae
Limnochorda,Limnochordia,Limnochordales,Limnochordaceae
Limnoglobus,Planctomycetia,Gemmatales,Gemmataceae
Limnohabitans,Betaproteobacteria,Burkholderiales,Comamonadaceae
Limnospira,Cyanophyceae,Oscillatoriales,Sirenicapillariaceae
Limosilactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Liquorilactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Listeria,Bacilli,Bacillales,Listeriaceae
Litorilituus,Gammaproteobacteria,Alteromonadales,Colwelliaceae
Litorimonas,Alphaproteobacteria,Maricaulales,Robiginitomaculaceae
Litorivicinus,Gammaproteobacteria,Oceanospirillales,Litorivicinaceae
Loigolactobacillus,Bacilli,Lactobacillales,Lactobacillaceae
Loktanella,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae
Lonepinella,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
Longicatena,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae
Longispora,Actinomycetes,Micromonosporales,Micromonosporaceae
Lonsdalea,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae
Luteibacter,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae
Luteimicrobium,Actinomycetes,Micrococcales,Unknown
Luteimonas,Gammaproteobacteria,Lysobacterales,Lysobacteraceae
Luteipulveratus,Actinomycetes,Micrococcales,Dermacoccaceae
Luteitalea,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae
Luteithermobacter,Alphaproteobacteria,Emcibacterales,Emcibacteraceae
Luteococcus,Actinomycetes,Propionibacteriales,Propionibacteriaceae
Luteolibacter,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae
