ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Multicellular complex forming ability
13204,,"DSM 44260, IFO 15668, JCM 9924, KCTC 9572, MTCC 2688, NBRC 15668, IMSNU 22094, NCIMB 13660, NRRL B-24049, VKM Ac-1983",1,Actinokineospora terrae,GCA_900111175,0
131551,ACD1,"DSM 46744, CECT 8841",1,Actinomadura algeriensis,GCA_014873935,0
16924,SF2197,"DSM 43919, IFO 14695, JCM 6250, NBRC 14695, CGMCC 4.2100, CIP 107393, HUT 6547, IMSNU 22157, IMSNU 22161, KCTC 9620, MTCC 2560, NCIMB 12618",1,Actinomadura atramentaria,GCA_000381885,0
16925,,"DSM 43461, ATCC 27887, IMET 9573, INA 1849, JCM 3295, BCRC 13352, CGMCC 4.1514, IFO 14678, IMSNU 20001, KCTC 9617, MTCC 1828, NBRC 14678, NRRL B-16121, VKM Ac-1119",1,Actinomadura citrea,GCA_013409045,0
158480,LHW63021,"DSM 106125, CCTCC AA 2018015",1,Actinomadura craniellae,GCA_003289645,0
16927,,"DSM 43676, ATCC 33577, INA 292, JCM 3308, BCRC 13394, IFO 14182, IMET 9578, IMSNU 22199, NBRC 14182, NRRL B-16605, VKM Ac-912",1,Actinomadura cremea subsp. cremea,GCA_014648495,0
16999,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1,Actinomadura flavalba,GCA_000374305,0
16966,C-36820,"DSM 43997, ATCC 49059, IFO 14204, JCM 7474, NBRC 14204, BCRC 16355, CIP 105595, IFO 15870, IMSNU 22194, KCTC 9647, LMG 29178, NBRC 15870, NCIMB 12773, NRRL B-16984, VKM Ac-1954",1,Actinomadura formosensis,GCA_001552155,0
17005,A8036,"DSM 45508, KCTC 19868, JCM 19952",1,Actinomadura geliboluensis,GCA_005889745,0
16987,80-60,"DSM 44770, AS 4.1202, CIP 107902, DSM 43891, IFO 14668, JCM 6161, NBRC 14668, VKM Ac-1273, CGMCC 4.1202",1,Actinomadura glauciflava,GCA_024648845,0
16979,"SA 26015, P157-2","DSM 44148, ATCC 53557, IFO 15177, NBRC 15177, NCIMB 13253, JCM 9627, HUT 6599, IMSNU 22185",1,Actinomadura hibisca,GCA_001552635,0
16929,"SSC 1256, 13-363","DSM 43764, ATCC 31588, CCRC 13146, IFO 14229, IMET 9741, JCM 3306, KCTC 9129, NBRC 14229, NCIMB 13755, NRRL 12069, NRRL B-16121, VKM Ac-874, BCRC 13416, CGMCC 4.2099, IMSNU 20006, MTCC 707, NRRL B-16261, BCRC 13146, IFO (now NBRC) 14229, SCC 1256",1,Actinomadura kijaniata,GCA_001552175,0
16930,,"DSM 43677, ATCC 33578, INA 1678, JCM 3387, CPCC 203281, IFO 14682, IMET 9575, IMSNU 20008, IMSNU 22191, MTCC 1382, NBRC 14682, VKM Ac-908",1,Actinomadura livida,GCA_014648675,0
159574,NEAU-G17,"DSM 105122, CGMCC 4.7411",1,Actinomadura logoneensis,GCA_003428695,0
16931,S-0203,"DSM 40398, ATCC 25469, CBS 702.69, CGMCC AS 4.1382, IFO 13057, ISP 5398, JCM 4203, KCC S-0203, KCC S-0491, NBRC 13057, RIA 1249, OEU 719, BCRC 16250, CECT 3283, CGMCC 4.1382, CGMCC 4.1516, CIP 105484, IMET 9672, IMSNU 20009, JCM 4491, KCTC 9341, NRRL B-12327, VKM Ac-1509",1,Actinomadura luteofluorescens,GCA_013409365,0
16932,"FD 25934, A-0287","DSM 43862, ATCC 31286, IFO 14102, IMET 9754, JCM 3287, KCC A-0287, NBRC 14102, BCC 49509, BCRC 13378, CGMCC 4.1513, CIP 105532, IMSNU 22164, KCTC 9342, MTCC 2559, NCIMB 14303, NRRL B-16124, TBRC 2223",1,Actinomadura macra,GCA_001552215,0
16933,,"DSM 43067, ATCC 19425, CCM 136, IAM 14277, IFO 14623, IMRU 1190, JCM 7436, NBRC 14623, NCTC 5654, CCUG 32944, CCTCC AB 2010169, CECT 3043, CGMCC 4.1224, CIP 105487, HAMBI 1926, IFM 0585, IMET 9585, KCTC 9192, MTCC 1120, NCIMB 13469, NRRL B-3843, VKM Ac-809, IFO 13909, NBRC 13909",1,Actinomadura madurae,GCA_900115095,0
16989,A288,"DSM 44715, NRRL B-24247, JCM 13237, CIP 108410",1,Actinomadura meyerae,GCA_900188445,0
140490,CYP1-1B,"JCM 16995, KCTC 39784, PCU 349, TISTR 2400",1,Actinomadura montaniterrae,GCA_008923365,1
16986,"FH-A 1198, ID 90-506, FH A 1198","DSM 44197, CIP 108365, NRRL B-24153, HAG 010767, JCM 13238, CPCC 201670",1,Actinomadura namibiensis,GCA_014138665,0
16969,,"DSM 43936, ATCC 33264, IFO 14183, JCM 3309, KCTC 9248, NBRC 14183, NCIMB 12768, NRRL B-16122, VKM Ac-1085, INA 1349, KCC A-0309, MTCC 3035, PCM 2339",1,Actinomadura rifamycini,GCA_000425065,1
16968,,"DSM 44433, IFO 14480, IMET 9742, INMI 187, JCM 3398, JCM 7346, ATCC 33925, BCRC 13638, KCTC 9185, NBRC 100039, NBRC 14480",1,Actinomadura viridilutea,GCA_003001795,0
16970,2991,"DSM 43750, ATCC 49883, IFO 15178, IMET 9705, JCM 7345, NBRC 15178, BCRC 16817, CIP 105486, IFO 15275, IMSNU 22192, INMI 2991, KCTC 9493, NBRC 15275, VKM Ac-1470",0,Actinomadura viridilutea,GCA_001552235,0
16945,"Mt-1, A-0325","DSM 43175, ATCC 27103, CBS 833.70, IMET 9546, JCM 3112, KCC A-0112, BCRC 13398, CIP 105478, IFO 15238, IMSNU 20019, KCTC 9290, NBRC 15238, VKM Ac-1315, CCRC 13398",1,Actinomadura viridis,GCA_015751755,0
13499,,"DSM 45062, JCM 15998, NBRC 104400, YIM 0006, CCTCC AA 205017, TBRC 8064",1,Actinomycetospora chiangmaiensis,GCA_000379625,0
13502,IY07-53,"DSM 45771, KACC 14250, NBRC 105527, JCM 17980",1,Actinomycetospora cinnamomea,GCA_003096675,0
13503,014-5,"DSM 45772, KACC 14253, NBRC 103689, JCM 17981, TBRC 8065",1,Actinomycetospora corticicola,GCA_013409505,0
159747,A-T 8314,"TBRC 5722, NBRC 113235",1,Actinomycetospora endophytica,GCA_021026375,1
13504,TT00-04,"DSM 45773, KACC 14254, NBRC 103690, JCM 17982, BCC 49506, TBRC 2215",1,Actinomycetospora lutea,GCA_028737205,0
13505,IY07-55,"DSM 45774, KACC 14251, NBRC 105528, JCM 17983",1,Actinomycetospora straminea,GCA_028737255,0
13506,TT00-49,"DSM 45775, KACC 14255, NBRC 103691, JCM 17984",1,Actinomycetospora succinea,GCA_004363095,0
133108,11-183,"KCTC 39690, MCCC 1K02062, DSM 109075",1,Actinophytocola xanthii,GCA_001921205,1
23114,Y16,"DSM 45850, CGMCC 4.6857, JCM 17700",1,Actinoplanes atraurantiacus,GCA_900215205,0
7798,UNCC 253,"DSM 43031, ATCC 15330, CBS 189.64, IFO 12245, KCC A-0038, NBRC 12245, JCM 3038, BCRC 13631, HAMBI 1975, IFM 1138, IFM 1290, IMET 9034, IMSNU 20021, KCTC 9117, NCIMB 10172, NRRL B-3343, RIA 819, VKM Ac-648, VKM Ac-675",1,Actinoplanes auranticolor,GCA_018332655,0
7799,"A/672, MB-T 20","DSM 43805, ATCC 25844, KCC A-0196, JCM 3196, BCRC 13340, IFM 1261, IFO 13938, IMSNU 20022, KCTC 9345, NBRC 13938, NCIMB 12642, NRRL B-16714, VKM Ac-1320",1,Actinoplanes brasiliensis,GCA_004362215,0
7801,UNCC 65,"DSM 43148, ATCC 15348, CBS 190.64, IFO 12511, KCC A-0059, NBRC 12511, JCM 3059, BCRC 12545, CECT 3287, IFM 0124, IFM 1239, IMET 9244, KCTC 9589, MTCC 1981, NCIMB 12889, NRRL B-3344, VKM Ac-1319",1,Actinoplanes campanulatus,GCA_014191935,0
7830,LA97,"DSM 43942, ATCC 49799, IFO 14913, NBRC 14913, NCIMB 20027, JCM 7624, BCRC 16343, KCTC 9253, KCTC 9657, NRRL B-16688",1,Actinoplanes consettensis,GCA_018332715,0
7841,GW8-1761,"CCUG 53409, DSM 45050, CIP 109316, JCM 15999, NBRC 106145",1,Actinoplanes couchii,GCA_016862075,0
7816,,"DSM 46137, IFO 14990, IMET 9243, INA 1569, JCM 9082, NBRC 14990, NCIMB 12736, VKM Ac-1095, BCC 49182, BCRC 16342, KCTC 9590, TBRC 174",1,Actinoplanes cyaneus,GCA_016862095,0
7802,"A/10655, MB-T 21","DSM 43806, ATCC 21983, JCM 3247, KCC A-0247, BCRC 12107, CBS 597.74, CGMCC 4.2098, IFO 13994, IMET 9256, IMSNU 20026, KCTC 9532, MTCC 711, NBRC 13994, NCIMB 12643, NRRL B-16715",1,Actinoplanes deccanensis,GCA_016862115,0
7831,LA 107,"DSM 43941, ATCC 49798, IFO 14935, NBRC 14935, NCIMB 12875, JCM 7556, IMSNU 20027, IMSNU 22122, KCTC 9254, NRRL B-16692",1,Actinoplanes derwentensis,GCA_016862135,0
7832,LA 139,"DSM 43939, ATCC 49800, IFO 14914, NBRC 14914, NCIMB 20041, JCM 7625, IMSNU 22124, KCTC 9346, NRRL B-16689",1,Actinoplanes durhamensis,GCA_016862175,0
7804,"MB-T 22, X-14695","DSM 43807, ATCC 29868, KCC A-0277, JCM 3277, BCC 49183, BCRC 13630, IFO 15555, IMET 9273, IMSNU 22125, KCTC 9255, MTCC 1418, NBRC 15555, NCIMB 12644, NRRL B-16718, TBRC 192",1,Actinoplanes ferrugineus,GCA_016862195,0
7833,LA 6,"DSM 43938, ATCC 49801, IFO 14915, NBRC 14915, NCIMB 20000, JCM 7555, BCRC 16344, IMSNU 20031, KCTC 9656, NRRL B-16690",1,Actinoplanes humidus,GCA_016862215,0
7807,A-5221,"DSM 43146, ATCC 27366, KCC A-0165, JCM 3165, BCRC 12530, CCM 2739, CECT 3285, CGMCC 4.1065, IFM 1254, IFO 13911, IMET 9251, IMSNU 22126, KCTC 9534, MTCC 1412, NBIMCC 1475, NBRC 13911, NCIMB 12641, NRRL B-16722",1,Actinoplanes italicus,GCA_003001815,0
7839,"A/6353, FH 2244","DSM 43865, ATCC 31048, BCRC 12121, CBS 355.75, IFO 13997, IMSNU 22127, JCM 3250, KCC A-0250, KCTC 9536, NBRC 13997, NCIMB 12636, NRRL B-16723, SANK 62178, CGMCC 4.5521",1,Actinoplanes liguriensis,GCA_000715855,0
7808,UNCC 72,"DSM 43150, ATCC 15350, CBS 192.64, IFO 12513, KCC A-0061, NBRC 12513, JCM 3061, IFM 0126, IFM 1240, IMET 9246, IMSNU 22063, KCTC 9348, NCIMB 12888, NRRL B-3346, VKM Ac-676",1,Actinoplanes lobatus,GCA_014205215,0
7809,UNCC 431,"DSM 43046, ATCC 14538, CBS 188.64, IFO 13243, KCC A-0121, NBRC 13243, JCM 3121, BCRC 13335, CGMCC 4.1488, IFM 1250, IMET 9249, IMSNU 22051, KCTC 1780, NBIMCC 2232, NBRC 102363, NCIMB 12654, NRRL B-3342, VTT E-82151",1,Actinoplanes missouriensis,GCA_000284295,0
7846,,"DSM 45809, ATCC 43632, INA 4041, JCM 9649, KCTC 9593, NBRC 14524, BCC 49181, IFO 14524, TBRC 173",1,Actinoplanes octamycinicus,GCA_014205225,0
7834,LA 83,"DSM 43940, ATCC 49797, BCC 55025, IFO 14916, NBRC 14916, NCIMB 20021, TBRC 2208, JCM 7626, BCRC 16347, IMSNU 20038, KCTC 9257, NRRL B-16691",1,Actinoplanes palleronii,GCA_016862315,0
7811,"LL 7-10 (IMRU 3919), MB-T 24","DSM 43808, ATCC 29234, BCC 60402, IFO 13941, IMRU 3919, KCC A-0194, NBRC 13941, TBRC 2207, JCM 3194, BCRC 13338, IFM 1260, IMET 9276, IMSNU 20041, KCTC 9540, NCIMB 12746, NRRL B-16090",1,Actinoplanes rectilineatus,GCA_000962825,0
7812,UNCC 79,"DSM 43151, CBS 193.64, IAM 14279, IFO 12514, IMET 9268, JCM 3062, KCC A-0062, NBRC 12514, RIA 821, BCC 49176, HAMBI 1928, IFM 1241, KCTC 9119, NCIMB 12730, NRRL B-3347, TBRC 168, VKM Ac-650",1,Actinoplanes regularis,GCA_016862355,0
7818,"AB 8327, FH 2149","DSM 43866, ATCC 31121, BCRC 12106, FERM P-3462, IFO 13999, IMET 9254, IMSNU 20043, JCM 3252, KCC A-0252, KCTC 9543, NBRC 13999, NCIMB 12640, NRRL B-16726, SANK 60479, BCC 49180, NBIMCC 2300, TBRC 172",1,Actinoplanes teichomyceticus,GCA_003711105,0
7844,MN07-A0371,"DSM 45572, NBRC 105297, VTCC D9-10",1,Actinoplanes tereljensis,GCA_016862435,0
11162,,"DSM 45354, ACM 5288, JCM 18294, NRRL B-24810, PIP 143",1,Actinopolymorpha pittospori,GCA_014873875,0
11159,,"DSM 18448, CCTCC AA 206004, JCM 16537, YIM 45725",1,Actinopolymorpha rutila,GCA_013407855,0
17729,,"DSM 45004, KCTC 19119, YIM 90480",1,Actinopolyspora alba,GCA_900112765,0
17730,,"DSM 45583, CCTCC M 208247, KCTC 19372, YIM 90600, JCM 19144",1,Actinopolyspora erythraea,GCA_000763095,1
17721,,"DSM 43834, ATCC 27976, IFO 14106, JCM 3278, KCC A-0278, NBRC 14106, NCIB 11472, BCRC 13403, CGMCC 4.1219, IMSNU 20045, IMSNU 21360, KCTC 9127, MTCC 263, NCIMB 11472, VKM Ac-871",1,Actinopolyspora halophila,GCA_000371785,0
17634,GE134766,"DSM 44926, NRRL B-24431, JCM 14896, BCRC 16838, NBRC 102107",1,Actinospica acidiphila,GCA_000717315,0
13211,101,"DSM 43827, ATCC 29888, IAM 14280, IFO 14064, IMET 9740, IMRU 3971, JCM 3225, KCC A-0225, NBRC 14064, BCRC 13449, IMSNU 20048, KCTC 9125, KCTC 9184, NCIMB 13271, NRRL B-12336, VKM Ac-843",1,Actinosynnema mirum,GCA_000023245,0
13212,,"DSM 44131, ATCC 31309, FERM P-4130, IFO 13725, JCM 7343, NBRC 13725, RTCI C-14482, IFO 15620, IMSNU 21345, KCTC 9498, NBRC 15620, NCIMB 14387, NRRL B-16078, VKM Ac-1961",1,Actinosynnema pretiosum subsp. auranticum,GCA_000716705,0
13213,,"DSM 44132, ATCC 31281, FERM P-3992, IFO 13726, JCM 7344, NBRC 13726, BCRC 13428, CGMCC 4.1703, IFO 15621, IMSNU 21346, KCTC 9499, NBRC 15621, NRRL B-16060, VKM Ac-1963",1,Actinosynnema pretiosum subsp. pretiosum,GCA_024171695,0
2385,M,"DSM 3133, ATCC 43279, CFBP 4259, CIP 103003, JCM 9966, LMG 16154, NBRC 105374, NBRC 15517, BCRC 14866, IFO 15517, KCTC 3251, LMG 17239",1,Actinotalea fermentans,GCA_000767215,0
11055,,"DSM 8599, ATCC 51598, NRRL B-3381, JCM 8359, GTC 01565, IFO 15406, KCCM 41104, KCTC 9586, LMG 16472, NBRC 15406, NCIMB 13258",1,Aeromicrobium erythreum,GCA_001509405,0
11056,J41,"DSM 10552, ATCC 49363, IFO 14897, NBRC 14897, NCIMB 12713, CCUG 35026, LMG 16205, JCM 8088, IMSNU 22010, KCCM 41090, KCTC 9576, VKM Ac-1324",1,Nocardioides fastidiosus,GCA_004134885,0
11064,"TYLN1, TYLNI","DSM 19355, CCTCC AB 206046, JCM 16538, NBRC 107625, CIP 110459",1,Aeromicrobium flavum,GCA_007992115,0
164183,MO-CFX2,"JCM 32065, KCTC 15625",1,Aggregatilinea lenta,GCA_003569045,1
7249,DL-4,"DSM 14575, UCM Ac-620, VKM Ac-1804, JCM 12206, IAM 15124, IAM 15138, NBRC 103053, CIP 108057",1,Agreia bicolorata,GCA_000938265,0
7248,P229/10,"DSM 14246, LMG 21000, JCM 12145, CIP 108226, IAM 15151, IAM 15171, LMG 19918, NBRC 103054, VKM Ac-2510",1,Agreia pratensis,GCA_900177685,0
7253,V-108,"DSM 14215, CCM 4953, JCM 12132, CGMCC 1.7256, CIP 107635, IAM 15147, NBRC 103055",1,Agrococcus baldri,GCA_900114805,0
7259,G-4T,"DSM 22965, MTCC 10213, JCM 19248",1,Agrococcus carbonis,GCA_900104705,0
7256,"R-17892t 2, R-17892t2","DSM 18061, CIP 109629, LMG 22410, JCM 14916",1,Agrococcus casei,GCA_900163565,0
7250,2002-39/1,"DSM 9580, ATCC 700087, IFO 16126, NBRC 100415, NBRC 16126, CCUG 35514, CIP 106528, JCM 9950, CGMCC 1.7260, IAM 15121, IMSNU 22118, NCIMB 13857, VKM Ac-1839",1,Agrococcus jenensis,GCA_003752465,0
7255,K22-21,"DSM 17612, MTCC 7154, JCM 14301, CGMCC 1.7259, CGMCC 1.8869, NCIMB 14388, CIP 109379",1,Agrococcus lahaulensis,GCA_000425105,0
7281,P27,"DSM 23870, JCM 15913, KCTC 19593",1,Agromyces atrinae,GCA_004134805,0
7269,,"DSM 14598, AS 4.1717, CCTCC 001012, YIM 21741, JCM 12113, BCRC 16310, CCTCC AA 001012, CGMCC 4.1717, CIP 107976, IAM 15154, KCTC 9967, CCRC 16310",1,Agromyces aurantiacus,GCA_016907355,0
7267,65,"DSM 14596, IFO 16238, NBRC 16238, VKM Ac-2088, JCM 11433, CIP 108985, IAM 15146, KCTC 13909, NCIMB 13881",1,Agromyces bracchium,GCA_009709675,0
7261,,"DSM 8595, ATCC 51762, IMET 11525, VKM Ac-1340, JCM 9083, CIP 103632, IAM 15140, IFO 15780, LMG 16155, NBRC 15780",1,Agromyces cerinus subsp. cerinus,GCA_900142065,0
7283,,"DSM 22059, CCM 7623, KCTC 19578, CPCC 202695, JCM 30488, NBRC 109064",1,Agromyces flavus,GCA_004366335,0
7278,,"DSM 8597, ATCC 51764, IMET 11529, VKM Ac-1345, CCUG 35506, JCM 9085, CIP 103633, IAM 15142, IFO 15781, LMG 16156, NBRC 15781",1,Agromyces fucosus subsp. fucosus,GCA_004134865,0
7263,,"DSM 8598, ATCC 51765, IMET 11533, VKM Ac-1352, JCM 9086, CIP 103635, IAM 15143, IFO 15782, LMG 16158, NBRC 15782, JCM 9087",1,Agromyces fucosus subsp. hippuratus,GCA_013410355,0
7266,8,"DSM 14595, IFO 16235, NBRC 16235, VKM Ac-2085, JCM 11431, CIP 107131, IAM 15144, KCTC 13907, NCIMB 13882",1,Agromyces luteolus,GCA_009729855,0
7265,,"DSM 20152, ATCC 14004, JCM 3346, NCIB 7206, CIP 104860, IFO 15704, KCTC 3136, NBRC 15704, NCIMB 7206, VKM Ac-1388",1,Agromyces mediolanus,GCA_014648575,0
7260,PSU 38L,"DSM 43045, ATCC 25173, KCC A-0108, JCM 3108, BCRC 12879, CIP 103037, IAM 15120, IFO 13895, IFO 13899, IMET 11027, KCTC 9232, LMG 16680, MTCC 267, NBRC 13895, NBRC 13899, NCIMB 10801, VKM Ac-1198",1,Agromyces ramosus,GCA_004216665,0
7273,"108989, 20-5","DSM 16198, HKI 0320, JCM 14323, CIP 108989, IAM 15297, NCIMB 13989, NCIMB 13990",1,Agromyces salentinus,GCA_009749395,0
7277,Z33,"DSM 16689, NCIMB 14025, HKI 0340, JCM 14324, IAM 15298, CIP 108957",1,Agromyces subbeticus,GCA_000421565,0
159616,SJ-23,"DSM 105049, CGMCC 4.7419",1,Agromyces tardus,GCA_003710805,0
7270,XIL01,"DSM 15747, CIP 108592, LMG 21954, NBRC 109083, JCM 13315, IAM 15233",1,Agromyces ulmi,GCA_001313305,0
11043,,"DSM 45001, KCTC 19149, YIM 45607, JCM 15626",1,Aldersonia kunmingensis,GCA_001646865,0
160178,LacT,"DSM 100337, JCM 30643",1,Alkaliphilus serpentinus,GCA_009017255,1
13509,R761-7,"DSM 44149, ATCC 55061, JCM 9917, KCTC 9837, NBRC 101910, NRRL B-24461, CGMCC 4.1881, NCIMB 13433",1,Allokutzneria albata,GCA_000720955,1
11192,I10A-01259,"DSM 45601, CPCC 203428, KCTC 19844, JCM 31480, JCM 31481",1,Allonocardiopsis opalescens,GCA_003002095,0
159664,,"DSM 102292, KCTC 39746, CPCC 204380",1,Allorhizocola rhizosphaerae,GCA_003426775,0
133062,,"DSM 42178, CGMCC 4.7247, YIM DR4008",1,Allostreptomyces psammosilenae,GCA_013407765,1
166423,M8JJ-5,"KCTC 49089, CGMCC 1.16390",1,Amnibacterium flavum,GCA_003097495,0
7508,KSL51201-037,"DSM 24782, JCM 16463, KEMC 51201-037, KACC 15557, NBRC 109360",0,Amnibacterium kyonggiense,GCA_004364555,0
13230,,"DSM 44262, ATCC 51368, IFO 15602, NBRC 15602, NRRL 18532, JCM 10030, IMSNU 22095, KCTC 9611",1,Amycolatopsis alba,GCA_000384215,0
167397,SYSUP0005,"KCTC 49024, CGMCC 4.7463",1,Amycolatopsis alkalitolerans,GCA_006152065,1
159864,AU-G6,"CGMCC 4.7351, NBRC 112404",1,Amycolatopsis antarctica,GCA_002262875,1
13248,GY048,"DSM 44671, CIP 109398, NBRC 106146, NCIMB 14142, JCM 15587",1,Amycolatopsis australiensis,GCA_900119165,0
13222,"AM-3696, FERM-P 4738","DSM 43854, ATCC 51273, FERM P-4738, IFO 14573, JCM 3275, KCC A-0275, NBRC 14573, NRRL 11412, VKM Ac-1418, BCRC 13413, HUT 6555, IMSNU 20053, KACC 20058, KCCM 40242, KCTC 9154, NCIMB 14805",1,Amycolatopsis azurea,GCA_000340415,0
13241,FH 1894,"DSM 44591, JCM 12668, NRRL B-24207, CIP 108516",1,Amycolatopsis balhimycina,GCA_000384295,0
13229,,"DSM 44225, ATCC 53629, IFO 15804, NBRC 15804, NRRL 3218, JCM 9869, IMSNU 22096, KCTC 9818, NBIMCC 1779, NCIMB 13017, VKM Ac-1732",1,Amycolatopsis coloradensis,GCA_001953865,0
13252,"FH 1845, NNRL B-24209","DSM 44594, JCM 12669, NRRL B-24209, CIP 108517, NCIMB 14255",1,Amycolatopsis decaplanina,GCA_000342005,0
166244,GLM-1,"TBRC 9315, NBRC 113658",1,Amycolatopsis eburnea,GCA_003937945,1
13232,NT202,"DSM 44348, NCIMB 13795, JCM 18060, BCRC 16370, CIP 107587, JCM 12071, NBRC 100338, NBRC 104161",1,Amycolatopsis thermoflava,GCA_003752125,0
13231,MG 417-CF 17,"DSM 44213, JCM 10140, CIP 106801, KCTC 9817, NRRL B-24138",1,Amycolatopsis japonica,GCA_000732925,0
13245,,"DSM 44652, JCM 12670, LDDC 9447-99, NRRL B-24129, CIP 108186",1,Amycolatopsis kentuckyensis,GCA_002155975,0
13240,FH 1893,"DSM 44586, CIP 107964, JCM 12671, NRRL B-24206",1,Amycolatopsis keratiniphila,GCA_001953855,0
13242,D2,"DSM 44409, CIP 107963, NRRL B-24117, JCM 12683, BCRC 16375, NCIMB 14256",1,Amycolatopsis keratiniphila subsp. keratiniphila,GCA_001620365,0
13246,,"DSM 44653, JCM 12672, LDDC 12275-99, NRRL B-24131, CIP 108185",1,Amycolatopsis lexingtonensis,GCA_002156005,0
13214,NA 3-TE-19,"DSM 43134, ATCC 14930, DSM 43192, IFO 14500, IMET 7654, JCM 3141, LBG A 3091, NBRC 14500, NCIB 9601, NRRL 2430, ETH 24315, BCRC 11659, BCRC 13742, CGMCC 4.1133, CGMCC 4.1212, HUT 6556, IMSNU 20057, KCCM 12665, KCTC 9425, LMG 4064, MTCC 695, NCIMB 9601, VKM Ac-1242",1,Amycolatopsis lurida,GCA_000749465,1
13227,KT2025,"DSM 45510, JCM 31204, KCTC 29056",1,Amycolatopsis magusensis,GCA_017875555,0
13259,CSC17Ta-90,"DSM 44992, CIP 109581, NRRL B-24473, HKI 0330, CSC 17TA-090, JCM 14717",1,Amycolatopsis nigrescens,GCA_000384315,0
13215,"M 43-05865, Pittinger M43-05865, CCTMLa 2924","DSM 40040, ATCC 19795, CBS 547.68, CCM 2778, IAM 14281, IFO 12360, IFO 12806, IMET 7510, IMET 7653, IMSNU 20058, ISP 5040, JCM 4235, JCM 4600, KCC S-0235, KCC S-0600, NBRC 12360, NBRC 12806, NIHJ 483, NRRL 2450, RIA 1074, BCRC 11615, CGMCC 4.1214, CIP 107113, HUT 6592, IFM 0528, KCCM 40595, KCTC 9412, NBIMCC 2297, NCIMB 12945, VKM Ac-866",1,Amycolatopsis orientalis,GCA_000478275,1
159669,,"DSM 105902, CCTCC AA 2017044, KCTC 49031, YIM PH21725, JCM 33574",1,Amycolatopsis panacis,GCA_003600245,0
166702,RM579,"NBRC 106096, TBRC 1849, RM 579",1,Amycolatopsis pithecellobii,GCA_009707865,1
13247,ARC-OV1 0181,"DSM 44654, ARC OV1 0181, JCM 12673, NRRL B-24133, CIP 108184",1,Amycolatopsis pretoriensis,GCA_002156025,0
13264,GY080,"DSM 45072, NCIMB 14277, JCM 15588",1,Amycolatopsis regifaucium,GCA_001558125,0
158797,DH51B-4-3,"TBRC 6029, NBRC 112509, JCM 32589",1,Amycolatopsis rhizosphaerae,GCA_007713715,1
13255,"Baxter NT 19, NT 19","DSM 46095, ATCC 27643, IMET 7668, JCM 12674, KCTC 9403",1,Amycolatopsis rifamycinica,GCA_000695625,0
13243,13.4,"DSM 44637, AS 4.1541, CIP 107102, JCM 10871, NRRL B-24150, ATCC BAA-726, CGMCC 4.1541, KCTC 19909, NBRC 100041",1,Amycolatopsis rubida,GCA_900115345,0
