ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Cell width
17634,GE134766,"DSM 44926, NRRL B-24431, JCM 14896, BCRC 16838, NBRC 102107",1,Actinospica acidiphila,GCA_000717315,0.5
17635,GE134769,"DSM 44927, JCM 14908, NRRL B-24432, BCRC 16839, NBRC 102112",1,Actinospica robiniae,GCA_000504285,0.6
133962,CF5-4,"KCTC 29134, CCTCC AB 2012198, DSM 112671, JCM 31479",1,Actinotalea ferrariae,GCA_000603945,0.45
158625,THG-T121,"KACC 19191, CGMCC 4.7389, JCM 32747",1,Actinotalea solisilvae,GCA_016464425,0.70
133587,6515J-31,"KACC 14117, NBRC 106133",1,Adhaeribacter aerolatus,GCA_007991635,1.10
3764,MBRG1.5,"DSM 16391, NCIMB 14008",1,Adhaeribacter aquaticus,GCA_000473365,1.3
158784,17mud1-7,"KCTC 52873, NBRC 112824",1,Adhaeribacter swui,GCA_014217805,0.75
22982,NR06,"DSM 22242, CCUG 57646, KCTC 15365",1,Adlercreutzia caecicola,GCA_003725335,0.5
3077,B7,"DSM 21839, CCUG 56815",1,Adlercreutzia caecimuris,GCA_000403355,0.5
3072,do03,"DSM 18785, JCM 14811, AHU 1763, KCTC 15587",1,Adlercreutzia equolifaciens subsp. celata,GCA_003428485,0.45
3073,FJC-B9,"DSM 19450, CCUG 54925, JCM 14793, KCTC 15235",1,Adlercreutzia equolifaciens subsp. equolifaciens,GCA_000478885,0.65
3076,Mt1B8,"DSM 19490, CCUG 54980",1,Adlercreutzia mucosicola,GCA_000422625,0.5
132905,M-07,"DSM 104993, JCM 17746, KCTC 23732",1,Advenella faeciporci,GCA_014652395,1.75
383,WT001,"DSM 17095, LMG 22965, MTCC 7002",1,Advenella kashmirensis,GCA_000219915,1.05
384,DPN7,"DSM 17166, LMG 22922",1,Advenella mimigardefordensis,GCA_000521505,1.5
160122,Pan181,"DSM 29370, LMG 31346, CECT 9840, VKM B-3426",1,Aeoliella mucimassa,GCA_007748035,0.70
166411,,"KACC 15529, NBRC 108213, IMCC 3088",1,Aequoribacter fuscus,GCA_009910365,0.70
140229,D-24,"DSM 101732, KCTC 42708",1,Aequorivita aquimaris,GCA_001573155,0.45
5479,A71,"DSM 23843, JCM 15070, KCTC 22183",1,Aequorivita capsosiphonis,GCA_000429125,0.35
5477,9-3,"DSM 14238, ACAM 643, CIP 107454, LMG 21432",1,Aequorivita sublithincola,GCA_000265385,0.45
24014,8-1b,"DSM 26349, CGMCC 1.11023, JCM 18497",1,Aequorivita viscosa,GCA_900106795,2
158560,N.8,"KCTC 33824, JCM 31580",1,Aeribacillus composti,GCA_007827555,0.55
1766,T6,"DSM 22365, LMG 21773, NCIMB 13939, JCM 15959",1,Aeriscardovia aeriphila,GCA_002259595,0.75
168559,M2KJ-4,"KCTC 49174, CGMCC 1.13666",1,Aeromicrobium endophyticum,GCA_003586285,1.05
11064,"TYLN1, TYLNI","DSM 19355, CCTCC AB 206046, JCM 16538, NBRC 107625, CIP 110459",1,Aeromicrobium flavum,GCA_007992115,0.30
11062,,"DSM 22238, JCM 14732, KCTC 19207, GBS 39, Gsoil 098",1,Aeromicrobium ginsengisoli,GCA_004134905,0.35
159668,,"DSM 105424, NBRC 112936, CPCC 204604",1,Aeromicrobium lacus,GCA_003426855,0.55
11063,SSW1-57,"DSM 19087, JCM 13811, NRRL B-24466, CIP 109549",1,Aeromicrobium tamlense,GCA_013408555,0.5
23547,266,"DSM 27583, CECT 8023, LMG 26707, CIP 110626, LMG 2670",1,Aeromonas australiensis,GCA_000819725,0.85
280,868E,"DSM 19111, CECT 7113, LMG 23376, CIP 109539",1,Aeromonas bivalvium,GCA_000819765,0.65
283,717,"DSM 23621, CECT 7401, LMG 24681, CIP 110205",1,Aeromonas fluvialis,GCA_000819885,0.65
288,WB4.1-19,"DSM 22539, CECT 7518, MDC 2511, CIP 110301",1,Aeromonas rivuli,GCA_000820045,0.60
286,A2-67,"DSM 24094, CECT 7402, LMG 24682, CIP 110203",1,Aeromonas sanarellii,GCA_000820085,0.7
285,A2-50,"DSM 24096, CECT 7403, LMG 24683, CIP 110204",1,Aeromonas taiwanensis,GCA_000699185,0.90
159185,Dysh456,"DSM 105662, NBRC 112897",1,Aerosticca soli,GCA_003967035,0.8
437,JC2043,"DSM 15266, KCTC 12043, IMSNU 14007, CIP 108412",1,Aestuariibacter halophilus,GCA_020687825,0.55
438,JC2042,"DSM 15300, KCTC 12042, IMSNU 14006, CIP 108413",1,Aestuariibacter salexigens,GCA_000429145,0.50
12671,R27,"DSM 21549, JCM 14204, KCTC 19182, CIP 109737",1,Aestuariimicrobium kwangyangense,GCA_000421525,0.90
160775,,"DSM 105254, KCTC 52945, NBRC 112960, SYSU M10001",1,Aestuariivirga litoralis,GCA_003234965,0.80
167386,JA968,"KCTC 15634, NBRC 113338",1,Afifella aestuarii,GCA_004023665,0.60
13876,AR2102,"DSM 17143, ATCC BAA-1145",1,Afifella pfennigii,GCA_000688515,0.6
141009,feces2,"MCCC 1A11450, KCTC 52708",1,Agaribacterium haliotis,GCA_002312815,0.7
133571,"CC-SBABM117, SBABM117","BCRC 17964, CCM 7684, DSM 22517",1,Agaricicola taiwanensis,GCA_014635245,0.5
141010,"17, 017","KCTC 42584, MCCC 1H00123",1,Agarilytica rhodophyticola,GCA_002157225,0.70
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,Agarivorans aestuarii,GCA_019670125,0.65
133657,,"IAM 14998, LMG 21761, MKT 106, JCM 21469, NBRC 102603, CIP 108457",1,Agarivorans albus,GCA_000414175,0.8
132395,JK 623,"DSM 29029, LMG 28559",1,Agathobacter ruminis,GCA_028539255,0.35
164183,MO-CFX2,"JCM 32065, KCTC 15625",1,Aggregatilinea lenta,GCA_003569045,0.55
6668,,"DSM 18527, JCM 14202, NRIC 0689, CIP 109571",1,Agrilactobacillus composti,GCA_000583695,0.8
164664,54-2,"JCM 33824, CCM 8896, KCTC 21120, LMG 31058, NCIMB 15154",1,Agrilactobacillus yilanensis,GCA_003946725,1
13647,Ch11,"DSM 26438, CFBP 7420, HAMBI 3460, LMG 26191",1,Agrobacterium skierniewicense,GCA_014196515,0.5
7256,"R-17892t 2, R-17892t2","DSM 18061, CIP 109629, LMG 22410, JCM 14916",1,Agrococcus casei,GCA_900163565,0.35
7258,SSW1-48,"DSM 22002, JCM 14256, KCTC 19198",1,Agrococcus jejuensis,GCA_900099705,0.35
7255,K22-21,"DSM 17612, MTCC 7154, JCM 14301, CGMCC 1.7259, CGMCC 1.8869, NCIMB 14388, CIP 109379",1,Agrococcus lahaulensis,GCA_000425105,0.80
24181,DNG5,"DSM 28114, CGMCC 1.6960, JCM 17488, NBRC 104260",1,Agrococcus terreus,GCA_014645235,0.45
7279,UMS-62,"DSM 21551, JCM 13584, KCTC 19181, CIP 109546",1,Agromyces allii,GCA_009749385,0.3
7281,P27,"DSM 23870, JCM 15913, KCTC 19593",1,Agromyces atrinae,GCA_004134805,0.75
132611,AR33,"DSM 101731, LMG 29235, JCM 32431",1,Agromyces aureus,GCA_001660485,0.40
132534,"OAct-353, OAct353","DSM 28305, CGMCC 4.7180, NRRL B-59115, JCM 32487",1,Agromyces binzhouensis,GCA_004135055,0.45
7275,"CD 5, CD5","DSM 16389, NBRC 109085, NCIMB 14012, HKI 0327, JCM 14319, CIP 108741, IAM 15274",1,Agromyces humatus,GCA_021228295,0.4
7276,CD1,"DSM 16388, NCIMB 14011, HKI 0325, JCM 14320, IAM 15273, CIP 108740",1,Agromyces italicus,GCA_000421545,0.5
7274,CD55,"DSM 16390, NCIMB 14013, HKI 0324, JCM 14321, IAM 15275, CIP 108739",1,Agromyces lapidis,GCA_009749405,0.5
7277,Z33,"DSM 16689, NCIMB 14025, HKI 0340, JCM 14324, IAM 15298, CIP 108957",1,Agromyces subbeticus,GCA_000421565,0.40
159616,SJ-23,"DSM 105049, CGMCC 4.7419",1,Agromyces tardus,GCA_003710805,0.30
7280,DS-10,"DSM 22016, JCM 14581, KCTC 19216",1,Agromyces terreus,GCA_009749465,0.35
132966,LZD062,"DSM 28886, JCM 30117, MCCC 1K00254",1,Ahrensia marina,GCA_001293565,0.70
6086,,"DSM 19219, CCTCC AB 207002, KCTC 12885, YIM 90637",1,Aidingimonas halophila,GCA_014651655,0.2
14116,BZ42,"DSM 22554, CGMCC 1.10187, CIP 110134",1,Albibacterium bauzanense,GCA_004339765,0.55
13844,DS2,"DSM 17890, KCTC 12586",1,Albimonas donghaensis,GCA_900106695,1.2
133988,P-50-3,"KACC 16527, CGMCC 1.11030",1,Albimonas pacifica,GCA_900113695,1
394,B-5,"DSM 16502, CGMCC 1.3690",1,Alcanivorax dieselolei,GCA_014644575,0.50
133431,A-11-3,"CGMCC 1.7084, LMG 24624, MCCC 1A01496",1,Alcanivorax hongdengensis,GCA_000300995,0.65
133994,R8-12,"MCCC 1A00382, LMG 24621, CCTCC AB 208234",1,Alcanivorax marinus,GCA_025532125,0.55
158801,MT13131,"MCCC 1A11581, KCTC 52985",1,Alcanivorax mobilis,GCA_002864685,0.45
140512,19-m-6,"MCCC 1A05629, KCTC 52137",1,Alcanivorax nanhaiticus,GCA_000756665,0.5
140562,SK-16,"NBRC 110220, KCTC 32974",1,Algibacter aquaticus,GCA_001747085,0.30
5480,M-3Alg 15-1,"DSM 15365, KCTC 12103, KMM 3902, JCM 21761, IAM 15311, LMG 23347, LMG 22573, NBRC 100591",1,Algibacter lectus,GCA_900112395,0.45
134060,WS-MY22,"KCTC 32381, CECT 8301",1,Algibacter lectus,GCA_004368925,0.3
166449,,"KCTC 62395, MCCC 1K03486, HHTR 118",1,Algihabitans albus,GCA_003572205,0.35
18152,DG1253,"DSM 24793, ATCC BAA-2243",1,Algiphilus aromaticivorans,GCA_000733765,0.6
133393,S2-A1,"KACC 18987, JCM 31546",1,Algoriphagus aestuariicola,GCA_017254835,0.55
17695,R-10710,"DSM 15986, LMG 21980",1,Algoriphagus antarcticus,GCA_002150685,0.5
17711,T4,"DSM 19759, LMG 24398, NCIMB 14399",1,Algoriphagus aquaeductus,GCA_003253485,1.50
17704,,"DSM 23399, CCUG 47101, KMM 3958, LMG 21971, CIP 108555",1,Algoriphagus aquimarinus,GCA_900112005,0.6
164479,F21,"JCM 33187, KCTC 72106, KEMB 2250-007",1,Algoriphagus aquimaris,GCA_004358035,0.75
17702,T22,"DSM 17298, ATCC BAA-1189, NBRC 101277, JCM 18970",1,Algoriphagus boritolerans,GCA_001313265,0.35
17705,,"CIP 108556, DSM 19830, CCUG 47095, KMM 3957, LMG 21970",1,Algoriphagus chordae,GCA_003254055,0.6
17698,JC2051,"DSM 15292, IMSNU 14013, KCTC 12051, CIP 108304",1,Algoriphagus halophilus,GCA_900129785,0.40
17712,7-UAH,"DSM 19315, CCM 7449, CECT 7267",1,Algoriphagus hitonicola,GCA_900113375,0.3
133329,S61,"DSM 102044, CCTCC AB 2015446",1,Algoriphagus iocasae,GCA_014206875,0.50
167490,XY-J91,"MCCC 1K03612, KCTC 72216",1,Algoriphagus kandeliae,GCA_004571135,0.65
170941,N3,"KCTC 62622, MCCC 1H00308",1,Algoriphagus lacus,GCA_003583985,0.40
17707,MSS-170,"DSM 23445, KCTC 12310, JCM 12597, CIP 108874",1,Algoriphagus locisalis,GCA_900116615,0.55
133541,S1-3,"KCTC 22630, CCUG 57608",1,Algoriphagus lutimaris,GCA_017051705,0.55
23439,PR1,"DSM 24695, ATCC BAA-2233",1,Algoriphagus machipongonensis,GCA_000166275,0.5
17700,JC2050,"DSM 15301, IMSNU 14012, KCTC 12050, CIP 108302",1,Algoriphagus mannitolivorans,GCA_000429425,0.45
140525,am2,"KCTC 52549, MCCC 1H00178",1,Algoriphagus marinus,GCA_001936475,0.45
17699,JC2052,"DSM 15282, IMSNU 14014, KCTC 12052, CIP 108303",1,Algoriphagus ornithinivorans,GCA_900115305,0.35
133121,NH1,"MCCC 1H00140, KCTC 52228",1,Algoriphagus resistens,GCA_001442615,0.75
164064,M8-2,"JCM 31446, LMG 29969",1,Algoriphagus sanaruensis,GCA_001593605,0.35
17708,DS-44,"DSM 22685, CIP 108837, KCTC 12545",1,Algoriphagus terrigena,GCA_000429445,0.50
17710,,"DSM 17529, KCTC 12716, KMM 6241",1,Algoriphagus vanfongensis,GCA_000429465,0.45
17706,MSS-160,"DSM 23446, CIP 108748, JCM 12598, KCTC 12309",1,Algoriphagus yeomjeoni,GCA_003259505,0.55
24720,12C11,"DSM 25035, CGMCC 1.11027, MCCC 1F01099",1,Algoriphagus zhangzhouensis,GCA_004366575,0.65
498,AAM1,"DSM 23064, BCRC 17888, JCM 15522, JCM 31907",1,Aliagarivorans marinus,GCA_000429485,1.1
499,AAT1,"DSM 22990, BCRC 17889, JCM 15537",1,Aliagarivorans taiwanensis,GCA_000429505,0.85
170901,F199,"CECT 9230, LMG 30050",1,Arcobacter vitoriensis,GCA_003316695,0.45
414,TA-67,"DSM 14558, IAM 14935, NRIC 0496, JCM 21417, CIP 107723, NBRC 100859, NRIC 6496",1,Alicyclobacillus acidiphilus,GCA_001544355,1.00
429,3-A191,"DSM 17975, IAM 15224, JCM 21678, NBRC 103102",1,Alicyclobacillus contaminans,GCA_000429525,0.85
435,TC-34,"DSM 22381, CGMCC 1.6357, JCM 15090",1,Alicyclobacillus ferrooxydans,GCA_001399675,0.50
431,5-A83J,"DSM 17979, IAM 15227, JCM 21681, NBRC 103104",1,Alicyclobacillus kakegawensis,GCA_001552655,0.65
432,5A-239-2O-A,"DSM 17980, IAM 15370, JCM 21814",1,Alicyclobacillus macrosporangiidus,GCA_900116805,0.75
158721,USBA-GBX-503,"CMPUJ UGB U503, CBMAI 1927",1,Alicyclobacillus montanus,GCA_900142255,0.75
428,RB-718,"DSM 17974, IAM 15230, JCM 21684, NBRC 103105",1,Alicyclobacillus sacchari,GCA_004366795,0.65
433,4A-336,"DSM 17981, IAM 15226, JCM 21680, NBRC 103103",1,Alicyclobacillus shizuokensis,GCA_001552255,0.75
425,CsHg2,DSM 16176,1,Alicyclobacillus vulcanalis,GCA_900156755,0.55
166399,CA12,"DSM 100707, LMG 29076",1,Alienimonas californiensis,GCA_007743815,1.55
167924,"LzC2, LGMXXXX","LMG 31701, CECT 30038",1,Alienimonas chondri,GCA_013036045,1.00
166424,F3105,"MCCC 1H00223, KCTC 52891",1,Aliidiomarina celeris,GCA_003316875,0.75
140844,GBPy7,"IBRC-M 10763, CECT 8339",1,Aliidiomarina iranensis,GCA_003987135,0.75
6238,CF12-14,"DSM 22154, CCTCC AB 208166, KACC 13974",1,Aliidiomarina maris,GCA_003987335,0.45
140532,GBSy1,"CECT 8340, IBRC-M 10764",1,Aliidiomarina sedimenti,GCA_003986955,0.35
133375,Y4G10-17,"CGMCC 1.15759, KCTC 52381",1,Aliidiomarina soli,GCA_003986975,0.20
133686,AIT1,"JCM 16052, BCRC 80035, NCCB 100321",1,Aliidiomarina taiwanensis,GCA_003987015,0.65
133344,7M-Z19,"NBRC 112240, KCTC 52134, CGMCC 1.15725, DSM 107831",1,Aliidongia dinghuensis,GCA_014643535,0.50
140832,2W32,"KCTC 42497, CICC 23869",1,Fodinibius halophilus,GCA_011059105,0.60
24787,,"DSM 21986, ACCC 10715, KCTC 23442, YIM D15",1,Fodinibius roseus,GCA_900129315,0.3
166301,WN023,"KCTC 52855, ACCC 19978",1,Aliifodinibius salipaludis,GCA_002287075,1.25
167731,ECH52,"KACC 19126, NBRC 112664",1,Fodinibius saliphilus,GCA_005869845,0.40
24788,,"DSM 21194, ACCC 10714, YIM J21, CECT 30753",1,Fodinibius sediminis,GCA_900182555,0.3
13769,"CV919-312, CVSP","DSM 16950, ATCC BAA-1102",1,Aliiroseovarius crassostreae,GCA_001307765,0.9
24498,MA1-10,"DSM 27840, CCUG 60745, KCTC 23462",1,Aliiroseovarius halocynthiae,GCA_007004645,0.55
158280,,"DSM 104669, JCM 31859, JAM 119",1,Aliiroseovarius lamellibrachiae,GCA_018599245,0.65
167643,A6024,"KCTC 72114, MCCC 1K03595",1,Aliiroseovarius marinus,GCA_004360145,0.75
130625,M-M10,"DSM 29439, CCUG 62413, KCTC 23959",1,Aliiroseovarius sediminilitoris,GCA_900109955,0.35
166218,MYP11,KCTC 62899 NBRC 113544,1,Aliishimia ponticola,GCA_004803475,0.60
443,BL06,"DSM 24290, JCM 15597, KCTC 22400, CGMCC 1.10668",0,Alishewanella agri,GCA_000272005,0.5
442,MS1,"DSM 24035, JCM 15561, KCTC 22429, CGMCC 1.10666",1,Alishewanella jeotgali,GCA_000245735,1
22907,RCRI4,"DSM 27060, JCM 17275, KCTC 23723, LMG 26473",1,Alishewanella tabrizica,GCA_014652375,0.9
159608,5CBH24,"DSM 108979, JCM 32850",1,Alistipes communis,GCA_006542665,0.8
14033,,"DSM 22520, JCM 16068, YIT 12060",1,Alistipes indistinctus,GCA_000231275,0.6
14031,,"KCTC 15237, DSM 19147, ATCC BAA-1178, CCUG 48946, WAL 8169, JCM 16771",1,Alistipes onderdonkii subsp. onderdonkii,GCA_000374505,0.35
14032,,"DSM 19121, ATCC BAA-1179, CCUG 48947, KCTC 15238, WAL 8301, JCM 16773",1,Alistipes shahii,GCA_000210575,0.15
22946,3AD-1,"DSM 25751, JCM 18271",1,Alkalibacterium gilvum,GCA_900109085,0.7
2243,T22-1-2,"DSM 19180, NBRC 103247, NRIC 0724",1,Alkalibacterium kapii,GCA_007988865,0.85
2246,T143-1-1,"DSM 19183, NBRC 103242, NRIC 0719",1,Alkalibacterium pelagium,GCA_007991315,0.6
2245,T129-2-1,"DSM 19182, NBRC 103243, NRIC 0720",1,Alkalibacterium putridalgicola,GCA_007988845,0.75
2244,T117-1-2,"DSM 19181, NBRC 103241, NRIC 0718",1,Alkalibacterium thalassium,GCA_900101165,1
5453,CP11,"CCUG 57164, DSM 22112, ATCC BAA-1772, KCTC 15124",1,Alkalibaculum bacchi,GCA_003317055,0.65
1277,CG-15,"DSM 18086, CCM 7371, CECT 7153, CGMCC 1.6292, CIP 109712",1,Alkalicoccus chagannorensis,GCA_000429725,0.65
22921,,"DSM 26767, CGMCC 1.10369, DLS 13, JCM 17097, NBRC 107572",1,Alkalicoccus daliensis,GCA_900103955,0.45
140264,BZ-SZ-XJ29,"DSM 29191, CGMCC 1.12936, JCM 30193",1,Alkalicoccus halolimnae,GCA_008014775,1.35
1235,6AG,"DSM 15402, ATCC BAA-957",1,Alkalicoccus saliphilus,GCA_003044065,0.85
132547,BZ-SZ-XJ18,"DSM 29145, JCM 30195",1,Alkalicoccus urumqiensis,GCA_002993335,0.65
17805,Z-7010,"DSM 15055, VKM B-2311",1,Alkaliflexus imshenetskii,GCA_000517065,0.33
1229,JMM-4,"DSM 16346, CIP 108766, JCM 12340",1,Alkalihalobacillus macyae,GCA_001039475,0.6
1294,SU1,"DSM 25300, KCTC 13244, NBRC 102646",1,Alkalihalobacillus trypoxylicola,GCA_001590785,0.6
1300,GMBAE72,"DSM 21297, JCM 15719, GMBE 72",1,Alkalihalophilus marmarensis,GCA_000474275,0.95
166505,34079,"KCTC 62428, MCCC 1K03493",1,Alkalilacustris brevis,GCA_003350345,0.50
4267,MLHE-1,"DSM 17681, ATCC BAA-1101",1,Alkalilimnicola ehrlichii,GCA_000014785,0.4
160373,LacV,"DSM 100017, JCM 30644",1,Alkaliphilus pronyensis,GCA_009017275,0.50
160178,LacT,"DSM 100337, JCM 30643",1,Alkaliphilus serpentinus,GCA_009017255,0.30
133913,JC133,"KCTC 15220, NBRC 109056",1,Alkalispirochaeta sphaeroplastigenens,GCA_002916695,0.2
17816,SC/BZ-SP2,"DSM 24412, ATCC BAA-2172",1,Alkalitalea saponilacus,GCA_002201795,0.4
133636,B3A,"BCRC 17939, LMG 24826",1,Allobacillus halotolerans,GCA_018967645,0.6
141012,,"NBRC 110719, DSM 29531, CPCC 204077",1,Allobranchiibius huperziae,GCA_013410455,0.50
