ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Gram stain
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,Acidipropionibacterium jensenii,GCA_000425285,positive
12654,15,"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,Acidipropionibacterium thoenii,GCA_000423445,positive
158421,JS278,"DSM 106790, VTT E-113202",1,Acidipropionibacterium virtanenii,GCA_003325455,positive
67,HS-AP3,"DSM 16009, JCM 10600",1,Acidisphaera rubrifaciens,GCA_000964365,negative
160797,MG,"DSM 107098, JCM 33084",1,Acidithiobacillus ferrianus,GCA_010378095,negative
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,Acidithiobacillus ferridurans,GCA_003966655,negative
132357,M20,"DSM 100412, JCM 30830",1,Acidithiobacillus ferriphilus,GCA_018854775,negative
159192,CJ-2,"DSM 105150, KCTC 4683",1,Acidithiobacillus sulfuriphilus,GCA_003721225,negative
125,3/TA,"DSM 14887, ATCC 19377, JCM 3867, NCIMB 8343, CIP 104597, IAM 12134",1,Acidithiobacillus thiooxidans,GCA_000227215,negative
137426,,"CIP 104766, ATCC 19703, NCIMB 8345",0,Acidithiobacillus thiooxidans,GCA_018853445,negative
133033,PMMR2,"DSM 27394, LMG 28340",1,Acidobacterium ailaaui,GCA_000688455,negative
2891,,"DSM 7227, ATCC 19860, ICMP 3183, ICPB PA117, NCPPB 1011, CCUG 15838, LMG 2117, CIP 106500, JCM 20985, CFBP 2425, IAM 13658",1,Acidovorax avenae,GCA_000176855,negative
2903,R-24608,"DSM 19327, LMG 24103",1,Acidovorax caeni,GCA_001298675,negative
2902,,"DSM 17101, ATCC 33619, CFBP 2423, ICMP 2826, ICPB PC21, LMG 2364, NCPPB 961, NRRL B835, CCUG 21975, NRRL B-835, CIP 106435, LMG 5286",1,Acidovorax cattleyae,GCA_900104515,negative
2888,,"DSM 649, ATCC 11228, CCUG 2113, LMG 6221, LMG 2193, CCM 4561, CIP 103302, NCIMB 9938",1,Acidovorax facilis,GCA_023913775,negative
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,Acidovorax kalamii,GCA_002245625,negative
2893,K2,"DSM 7481, ATCC 33996, CCUG 17394, ICMP 7733, LMG 5691, JCM 2397, CIP 106439, CFBP 4460, NCPPB 3698",1,Acidovorax konjaci,GCA_900112675,negative
135927,,"CIP 106433, CCUG 15836, LMG 1806, NCPPB 1392, ATCC 19882, ICMP 3960, CFBP 2426",0,Acidovorax oryzae,GCA_000687165,negative
2905,N35,"DSM 23535, LMG 25767",1,Acidovorax radicis,GCA_000204195,negative
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,Acidovorax soli,GCA_900107605,negative
2892,,"DSM 7270, ATCC 49665, CCUG 11779, LMG 7169, CIP 103457, CCM 4562",1,Acidovorax temperans,GCA_006716905,negative
2899,,"DSM 16619, CFBP 4730, NCPPB 4283, CIP 107997",1,Acidovorax valerianellae,GCA_900102625,negative
23868,NF 1078,"DSM 27981, CCUG 62584, LMG 26971",1,Acidovorax wautersii,GCA_900113035,negative
8095,,"DSM 30011, ATCC 23220, NCIMB 8208, NRRL B-551, CIP 68.38, LMG 1049, NCDO 709",0,Acinetobacter baumannii,GCA_001936675,negative
134717,,"CIP 110428, NIPH 146",0,Acinetobacter baumannii,GCA_000368185,negative
134718,,"CIP 110429, NIPH 190",0,Acinetobacter baumannii,GCA_000368525,negative
134722,,"CIP 110434, NIPH 410",0,Acinetobacter baumannii,GCA_000413915,negative
134783,,"CIP 110436, NIPH 528, CCM 7290, LMG 10541, RUH 134, CCUG 60612",0,Acinetobacter baumannii,GCA_000369285,negative
134981,,"CIP 110437, NIPH 601",0,Acinetobacter baumannii,GCA_000369245,negative
135233,,"CIP 110432, NIPH 329",0,Acinetobacter baumannii,GCA_000369225,negative
135561,,"CIP 110431, NIPH 290",0,Acinetobacter baumannii,GCA_000369325,negative
135562,12A133,"CIP 110464, NIPH 1669",0,Acinetobacter baumannii,GCA_000368105,negative
135661,,"CIP 70.10, ATCC 15151",0,Acinetobacter baumannii,GCA_001457535,negative
135763,,"CIP 110467, NIPH 2061",0,Acinetobacter baumannii,GCA_000368225,negative
136755,,"CIP 110438, NIPH 615",0,Acinetobacter baumannii,GCA_000368205,negative
136766,,"CIP 110463, NIPH 1362",0,Acinetobacter baumannii,GCA_000368125,negative
136828,,"CIP 110466, NIPH 1734",0,Acinetobacter baumannii,GCA_000368245,negative
137208,,"CIP 110435, NIPH 527, CCM 7289, LMG 10543, RUH 875",0,Acinetobacter baumannii,GCA_000369185,negative
137459,,"CIP 110433, NIPH 335",0,Acinetobacter baumannii,GCA_000369205,negative
138562,7788,"CIP 70.32, ATCC 17961",0,Acinetobacter baumannii,GCA_015910475,negative
138786,,"CIP 110430, NIPH 201",0,Acinetobacter baumannii,GCA_000369165,negative
139048,,"CIP 70.22, ATCC 17945",0,Acinetobacter baumannii,GCA_001997285,negative
8126,B2,"DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,Acinetobacter baylyi,GCA_000368685,negative
8141,58a,"DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759, CIP 110307, GTC 14628, LMG 25324, NBRC 112579",1,Acinetobacter beijerinckii,GCA_000369005,negative
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702, NCIMB 9019",1,Acinetobacter bereziniae,GCA_000248295,negative
8131,"4BO2, 4B02","CCUG 50766, DSM 14964, CIP 107468, JCM 18991, CCM 7196, GTC 3697, KCTC 12414, NBRC 112580",1,Acinetobacter bouvetii,GCA_000368865,negative
8140,5YN5-8,"DSM 18516, CIP 110357, KACC 11602, CCUG 61636, CIP 110501, ANC 4119",1,Acinetobacter brisouii,GCA_000488275,negative
8057,,"DSM 30006, ATCC 23055, CIP 81.08, CIP 81.8, LMD 22.16, CCUG 12804, LMG 1046, IFO 13718, Delft L360, JCM 6842, CECT 441, IAM 12087, KCTC 2357, LMG 10511, NBIMCC 3730, NBRC 13718, NCCB 22016, NCIMB 10694, NCTC 12983, VTT E-981117, LMD 98116",1,Acinetobacter calcoaceticus,GCA_000248175,negative
164592,WCHAc060005,"JCM 33509, CCTCC AB 2019139, GDMCC 1.1622",1,Acinetobacter chengduensis,GCA_003664645,negative
140537,,"CCM 8641, CIP 110478, CCUG 67966, CNCTC 7573, DSM 107593, NIPH 2036",1,Acinetobacter colistiniresistens,GCA_000413935,negative
138442,,"CIP 110477, NIPH 1859, LMG 10627, CNCTC 7581, CCUG 26389",0,Acinetobacter colistiniresistens,GCA_000369765,negative
141331,,"CCUG 887, ATCC 17905, NCTC 10304, CIP 64.2, CNCTC 7582, NIPH 1860",0,Acinetobacter colistiniresistens,GCA_000248215,negative
139534,,"CIP 110480, NIPH 3623, ANC 3623, CCUG 67960, CCM 8635",1,Acinetobacter courvalinii,GCA_000369785,negative
139535,,"CIP 110479, NIPH 1847, CCUG 34435",0,Acinetobacter courvalinii,GCA_000369605,negative
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,Acinetobacter defluvii,GCA_001704615,negative
133175,JVAP01,"CECT 9134, LMG 29605",1,Acinetobacter lactucae,GCA_001595745,negative
139491,,"CIP 110481, NIPH 1867, CCUG 34437",0,Acinetobacter dispersus,GCA_000369545,negative
140912,114,"CCUG 65204, DSM 27228",1,Acinetobacter equi,GCA_001307195,negative
8132,"9AO1, 9A01","DSM 14967, CIP 107464, CCM 7197",1,Acinetobacter gerneri,GCA_000368565,negative
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250, NCIMB 8250",1,Acinetobacter guillouiae,GCA_000368145,negative
135563,,"CIP 110465, NIPH 991",0,Acinetobacter guillouiae,GCA_000368485,negative
136752,,"CIP 110451, NIPH 230, CCUG 56138",0,Acinetobacter gyllenbergii,GCA_000488195,negative
8092,2446/60,"DSM 6962, ATCC 17906, CIP 64.3, NCTC 10305, CCUG 888, KCTC 12404, CCM 2358, LMG 996, NCIMB 12458",1,Acinetobacter haemolyticus,GCA_000369065,negative
136765,,"CIP 110442, NIPH 261",0,Acinetobacter haemolyticus,GCA_000369085,negative
137495,,"CIP 64.4, ATCC 17907, NCTC 10306, CCUG 891",0,Acinetobacter haemolyticus,GCA_900444825,negative
137522,,"CIP 70.27, ATCC 19194",0,Acinetobacter haemolyticus,GCA_000164055,negative
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702, ANC 4215",1,Acinetobacter indicus,GCA_000488255,negative
131299,1NM-4,"DSM 100979, CCTCC AB 2014199, GIMCC 1.656, KCTC 42012, CCUG 69701, CIP 111486",0,Acinetobacter indicus,GCA_002174105,negative
139603,,"CIP 53.82, ATCC 17976",0,Acinetobacter indicus,GCA_000369465,negative
8088,3865/60,"DSM 6963, ATCC 17909, CIP 64.6, NCTC 10308, CCUG 19095, NCTC 12154, LMG 999, NCIMB 12460",1,Acinetobacter johnsonii,GCA_000368045,negative
138934,,"CIP 68.41, ATCC 9036, IAM 1517, LMG 983, NCDO 715, NCIMB 8154, JCM 20194, NBRC 102197",0,Acinetobacter johnsonii,GCA_007989645,negative
8086,64.5,"DSM 6964, ATCC 17908, NCTC 10307, CCUG 889, KCTC 12406, CIP 64.5, CCM 2376, LMG 998, NCIMB 12459",1,Acinetobacter junii,GCA_900444875,negative
8087,17AO4,"CCUG 50767, DSM 14968, CIP 107470, CCM 7198",0,Acinetobacter junii,GCA_000368665,negative
136748,,"CIP 110443, NIPH 182",0,Acinetobacter junii,GCA_000368745,negative
133403,BRTC-1,"ACCC 19936, JCM 31367",1,Acinetobacter larvae,GCA_001704115,negative
8058,,"DSM 2403, ATCC 15309, CIP 644.10, JCM 6840, NCTC 5866, ATCC 17986, CCM 5581, CCUG 12805, CCUG 33984, CECT 453, CIP 64.10, LMG 1029, LMG 1240, NBRC 109760, NCIMB 12456, CIP 110687, KCTC 12407, NCIB 12456",1,Acinetobacter lwoffii,GCA_000248355,negative
134719,,"CIP 110447, NIPH 478",0,Acinetobacter lwoffii,GCA_000369145,negative
138819,,"CIP 110448, NIPH 715",0,Acinetobacter lwoffii,GCA_000368165,negative
139049,,"CIP 70.36, ATCC 17987, NCTC 5867",0,Acinetobacter lwoffii,GCA_900444925,negative
139604,,CIP 102136,0,Acinetobacter lwoffii,GCA_000369685,negative
139605,,"CIP 64.7, ATCC 17910, NCTC 10309",0,Acinetobacter lwoffii,GCA_000369745,negative
139606,,"CIP 70.31, ATCC 9957, CCUG 61662, LMG 985, CNCTC Mi 3/65",0,Acinetobacter lwoffii,GCA_000369125,negative
139612,,CIP 101966,0,Acinetobacter lwoffii,GCA_000369725,negative
163942,GC2,"JCM 31073, DSM 26953",0,Acinetobacter mesopotamicus,GCA_011058205,negative
139492,,"CIP 110444, NIPH 236, CCUG 67964, CCM 8639",1,Acinetobacter modestus,GCA_000367965,negative
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,Acinetobacter nectaris,GCA_000488215,negative
132120,,"DSM 102856, CCM 7791, CNCTC 7433, LMG 10619, NIPH 2119, CCUG 61663, RUH 2376, CIP 110470",1,Acinetobacter nosocomialis,GCA_000368085,negative
136146,,"CIP 110440, NIPH 386",0,Acinetobacter nosocomialis,GCA_000368605,negative
8139,,"DSM 16617, CCM 7030, CCUG 48866, LMG 21765, NIPH 384, LUH 4616, CIP 108168",1,Acinetobacter parvus,GCA_000248155,negative
134448,2288,CIP 102129,0,Acinetobacter parvus,GCA_000368305,negative
138820,,"CIP 110475, NIPH 1103, LMG 21766, LUH 3313",0,Acinetobacter parvus,GCA_000368005,negative
139613,,CIP 102529,0,Acinetobacter parvus,GCA_000368325,negative
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,Acinetobacter piscicola,GCA_002233755,negative
8146,,"CCUG 61664, NCDC KC739, DSM 25618, ATCC 19004, CIP 70.29, LMG 1035, NIPH 519, RUH 2206",1,Acinetobacter pittii,GCA_000369045,negative
139427,,"CIP 110482, NIPH 809, CCUG 14818, CCUG 67965, CCM 8640",1,Acinetobacter proteolyticus,GCA_000367945,negative
164465,S23,"JCM 33150, KACC 19921",1,Acinetobacter pullicarnis,GCA_006352475,negative
136812,SEIP 12.81,"CIP 110469, NIPH 2130, BOUVET 76",0,Acinetobacter radioresistens,GCA_000368885,negative
8147,G30,"DSM 24031, CCUG 57889, CECT 7818, LMG 26107, CIP 110305",1,Acinetobacter rudis,GCA_000829675,negative
8134,,"DSM 16038, CNCTC 6736, LMG 19576, NIPH 1034, CCUG 45560, KCTC 12409, CIP 107287, LUH 5832",1,Acinetobacter schindleri,GCA_000368625,negative
135565,,"CIP 110474, NIPH 900",0,Acinetobacter schindleri,GCA_000368465,negative
139607,,CIP 101934,0,Acinetobacter schindleri,GCA_000369585,negative
132199,Gerner-Smidt 10090,"DSM 102854, CCM 8535, CCUG 34785, CIP 110471, NIPH 973, NIPH 973 (<Gerner-Smidt 10090)",1,Acinetobacter seifertii,GCA_000368065,negative
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,Acinetobacter sichuanensis,GCA_003024515,negative
8143,"B1, CR11, IBFC2009","DSM 22956, JCM 15062, KCTC 22184, CCUG 59023, KCTC 22814, CIP 110264, CCTCC AB 209162",1,Acinetobacter soli,GCA_000368705,negative
139530,,"CIP 110476, NIPH 2899",0,Acinetobacter soli,GCA_000368725,negative
137422,,"CIP 110452, NIPH 298",0,Acinetobacter sp.,GCA_000369505,negative
139608,,CIP 56.2,0,Acinetobacter sp.,GCA_000368445,negative
141333,,"CCUG 996, CIP 70.18, NCDC KC727, ATCC 17988, LMG 1031",0,Acinetobacter higginsii,GCA_000369525,negative
167144,KPC-SM-21,"DSM 102168, LMG 29413, CIP 111016",1,Acinetobacter stercoris,GCA_900323515,negative
8133,4N13,"DSM 14970, CIP 107469, CCM 7199",1,Acinetobacter tandoii,GCA_000400735,negative
8130,7N16,"DSM 14971, CIP 107465, CCUG 50768, CCM 7200",1,Acinetobacter tjernbergiae,GCA_000374425,negative
8123,AB1110,"DSM 14962, CIP 107472, CCUG 50769, CCM 7201",1,Acinetobacter towneri,GCA_000368785,negative
8135,,"CCUG 45559, ATCC BAA-617, KCTC 12410, CCM 7024, CIP 107286, DSM 16037, CNCTC 6735, LMG 19575, NIPH 137, LUH 3792",1,Acinetobacter ursingii,GCA_000248135,negative
136751,,"CIP 110450, NIPH 706",0,Acinetobacter ursingii,GCA_000369885,negative
132198,strain Tjernberg & Ursing 151a,"DSM 102977, CCM 8555, CCUG 26390, CIP 110486, NIPH 2171",1,Acinetobacter variabilis,GCA_000369625,negative
136891,,"CIP 110487, NIPH 899",0,Acinetobacter variabilis,GCA_000368385,negative
139493,,"CIP 110483, NIPH 2168, RUH 65, CCUG 67967, CCM 8642",1,Acinetobacter vivianii,GCA_000369705,negative
139494,A110a,"CIP 110485, NIPH 758",0,Acinetobacter vivianii,GCA_000368345,negative
159758,WCHA60,"CCTCC AB 2016204, GDMCC 1.1100, KCTC 52505",1,Acinetobacter wuhouensis,GCA_001696605,negative
23319,PS33-18,"DSM 45867, BCC 46906, NBRC 108782",1,Acrocarpospora phusangensis,GCA_016862995,positive
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,Actibacterium pelagium,GCA_002285415,negative
141055,LS-811,"BCRC 80823, JCM 30681",1,Actibacterium ureilyticum,GCA_002285435,negative
17012,TTN02-30,"DSM 45449, KCTC 19541, NBRC 103687",1,Actinoallomurus purpureus,GCA_024055795,positive
17006,"FYU A 116, A-116","DSM 43459, ATCC 27298, BCRC 13386, CBS 261.72, CIP 105479, IFO 14099, IMET 9752, JCM 3146, KCC A-0146, KCTC 9252, NBRC 14099, NCIB 11118, NRRL B-16128, IMSNU 20015, MTCC 2556, NCIMB 11118, CCRC 13386, BRCC 13386",1,Actinoallomurus spadix,GCA_024055725,positive
13192,"Y388=As 4.1159, Y-388","DSM 43889, IFO 14455, IMET 43868, JCM 6095, NBRC 14455, NRRL B-16252, CGMCC 4.1159, CIP 106755, KCCM 12121, VKM Ac-1271, AS 4.1159",1,Actinoalloteichus caeruleus,GCA_000429185,positive
13194,,"DSM 45092, CGMCC 4.2500, CIP 109428, JCM 13436, HPA 177, BCRC 16835, NCIMB 14383, NRRL B-24537",1,Actinoalloteichus hymeniacidonis,GCA_001747425,positive
13193,RMV-1378,"DSM 44848, JCM 12472, MTCC 6194, BCRC 16823, CBS 11706, CIP 109023, NBRC 102582, NCIMB 14384",1,Actinoalloteichus spitiensis,GCA_000239155,positive
11688,P. 907,"DSM 22258, ATCC 13376, CCUG 24862, CIP 107664, MCCM 00398, CCM 5500, Wetmore 1706, HIM 1034-2",1,Actinobacillus arthritidis,GCA_029774155,negative
11676,"11-61, P243","DSM 19761, ATCC 51571, CCUG 12396, CIP 103283, NCTC 11408",1,Actinobacillus capsulatus,GCA_000374285,negative
11689,PM 30/53,"ATCC 19392, MCCM 00142, DSM 19655, CCUG 2041, CIP 103284, JCM 2432, NCTC 8529, LMG 3736",1,Actinobacillus equuli subsp. equuli,GCA_029773685,negative
11690,"F 154, 8-11272","DSM 22436, CCUG 19799, NCTC 13195, CIP 107709",1,Actinobacillus equuli subsp. haemolyticus,GCA_029773665,negative
138198,"NM305, NM 305","CIP 105314, CCUG 38923, DSM 113419",1,Actinobacillus minor,GCA_000175195,negative
11684,"NM319, NM 319","DSM 22435, CCUG 38924, CIP 105315",1,Actinobacillus porcinus,GCA_900773985,negative
144739,CNPA62,"CCUG 26436, MCCM 00283, CCM 5976, CIP 104142",0,Actinobacillus salpingitidis,GCA_000771895,negative
11683,"5, A51 and A65, K3844/C","DSM 22263, ATCC 15768, CCUG 27187, CIP 102633, NCTC 10851, Simmons K3844-C",1,Actinobacillus seminis,GCA_002263215,negative
11682,1276/61,"DSM 22433, ATCC 33415, CCM 5586, CCUG 11624, CIP 103354, NCTC 12996",1,Actinobacillus suis,GCA_000739435,negative
11670,3520/59,"DSM 5568, ATCC 25976, NCTC 10219, CCUG 2139, CIP 62.8, CCM 5774",1,Actinobacillus ureae,GCA_000188255,negative
132079,"FC1, FC3","DSM 100580, CSUR P1982",1,Actinobaculum massiliense,GCA_001457435,positive
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,Actinobaculum suis,GCA_900102025,positive
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,Actinocatenispora rupis,GCA_016861975,positive
