ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Kind of temperature,Temperature
17006,"FYU A 116, A-116","DSM 43459, ATCC 27298, BCRC 13386, CBS 261.72, CIP 105479, IFO 14099, IMET 9752, JCM 3146, KCC A-0146, KCTC 9252, NBRC 14099, NCIB 11118, NRRL B-16128, IMSNU 20015, MTCC 2556, NCIMB 11118, CCRC 13386, BRCC 13386",1,Actinoallomurus spadix,GCA_024055725,optimum,28
13193,RMV-1378,"DSM 44848, JCM 12472, MTCC 6194, BCRC 16823, CBS 11706, CIP 109023, NBRC 102582, NCIMB 14384",1,Actinoalloteichus spitiensis,GCA_000239155,optimum,25
132079,"FC1, FC3","DSM 100580, CSUR P1982",1,Actinobaculum massiliense,GCA_001457435,optimum,37
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,Actinobaculum suis,GCA_900102025,optimum,37
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,Actinocatenispora rupis,GCA_016861975,optimum,28
7796,KV-744,"DSM 45336, NBRC 101916, NRRL B-24477, JCM 15920",1,Actinocatenispora sera,GCA_000720965,optimum,21.5
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,Actinocatenispora thailandica,GCA_016865425,optimum,27.50
132014,OB1,"DSM 45618, ATCC BAA-2771",1,Actinocrinis puniceicyclus,GCA_018283645,optimum,22.50
132668,MI503-A4,"DSM 45934, NBRC 109632",1,Actinocrispum wychmicini,GCA_004345645,optimum,27
13511,03-9939,"DSM 45114, CCM 7461, KCTC 19294, JCM 17965, NBRC 106985",1,Actinokineospora alba,GCA_004362515,optimum,28
13207,ID 03-0561,"DSM 45656, BTCC B554, NBRC 104211",1,Actinokineospora baliensis,GCA_016907695,optimum,26.50
13209,ID 03-0810,"DSM 45657, BTCC B-558, NBRC 105526",1,Actinokineospora cianjurensis,GCA_003663795,optimum,26.50
16924,SF2197,"DSM 43919, IFO 14695, JCM 6250, NBRC 14695, CGMCC 4.2100, CIP 107393, HUT 6547, IMSNU 22157, IMSNU 22161, KCTC 9620, MTCC 2560, NCIMB 12618",1,Actinomadura atramentaria,GCA_000381885,optimum,28
16925,,"DSM 43461, ATCC 27887, IMET 9573, INA 1849, JCM 3295, BCRC 13352, CGMCC 4.1514, IFO 14678, IMSNU 20001, KCTC 9617, MTCC 1828, NBRC 14678, NRRL B-16121, VKM Ac-1119",1,Actinomadura citrea,GCA_013409045,optimum,28
16926,,"DSM 43675, ATCC 33576, INA 765, JCM 3320, CGMCC 4.1515, IFO 14679, IMET 9580, IMSNU 20002, KCTC 9337, NBRC 14679, VKM Ac-1511",1,Actinomadura coerulea,GCA_014208105,optimum,28
16927,,"DSM 43676, ATCC 33577, INA 292, JCM 3308, BCRC 13394, IFO 14182, IMET 9578, IMSNU 22199, NBRC 14182, NRRL B-16605, VKM Ac-912",1,Actinomadura cremea subsp. cremea,GCA_014648495,optimum,28
16999,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1,Actinomadura flavalba,GCA_000374305,optimum,28
16966,C-36820,"DSM 43997, ATCC 49059, IFO 14204, JCM 7474, NBRC 14204, BCRC 16355, CIP 105595, IFO 15870, IMSNU 22194, KCTC 9647, LMG 29178, NBRC 15870, NCIMB 12773, NRRL B-16984, VKM Ac-1954",1,Actinomadura formosensis,GCA_001552155,optimum,37
17005,A8036,"DSM 45508, KCTC 19868, JCM 19952",1,Actinomadura geliboluensis,GCA_005889745,optimum,30
16979,"SA 26015, P157-2","DSM 44148, ATCC 53557, IFO 15177, NBRC 15177, NCIMB 13253, JCM 9627, HUT 6599, IMSNU 22185",1,Actinomadura hibisca,GCA_001552635,optimum,30
16929,"SSC 1256, 13-363","DSM 43764, ATCC 31588, CCRC 13146, IFO 14229, IMET 9741, JCM 3306, KCTC 9129, NBRC 14229, NCIMB 13755, NRRL 12069, NRRL B-16121, VKM Ac-874, BCRC 13416, CGMCC 4.2099, IMSNU 20006, MTCC 707, NRRL B-16261, BCRC 13146, IFO (now NBRC) 14229, SCC 1256",1,Actinomadura kijaniata,GCA_001552175,optimum,28
16930,,"DSM 43677, ATCC 33578, INA 1678, JCM 3387, CPCC 203281, IFO 14682, IMET 9575, IMSNU 20008, IMSNU 22191, MTCC 1382, NBRC 14682, VKM Ac-908",1,Actinomadura livida,GCA_014648675,optimum,28
159574,NEAU-G17,"DSM 105122, CGMCC 4.7411",1,Actinomadura logoneensis,GCA_003428695,optimum,37
16931,S-0203,"DSM 40398, ATCC 25469, CBS 702.69, CGMCC AS 4.1382, IFO 13057, ISP 5398, JCM 4203, KCC S-0203, KCC S-0491, NBRC 13057, RIA 1249, OEU 719, BCRC 16250, CECT 3283, CGMCC 4.1382, CGMCC 4.1516, CIP 105484, IMET 9672, IMSNU 20009, JCM 4491, KCTC 9341, NRRL B-12327, VKM Ac-1509",1,Actinomadura luteofluorescens,GCA_013409365,optimum,28
16932,"FD 25934, A-0287","DSM 43862, ATCC 31286, IFO 14102, IMET 9754, JCM 3287, KCC A-0287, NBRC 14102, BCC 49509, BCRC 13378, CGMCC 4.1513, CIP 105532, IMSNU 22164, KCTC 9342, MTCC 2559, NCIMB 14303, NRRL B-16124, TBRC 2223",1,Actinomadura macra,GCA_001552215,optimum,28
16933,,"DSM 43067, ATCC 19425, CCM 136, IAM 14277, IFO 14623, IMRU 1190, JCM 7436, NBRC 14623, NCTC 5654, CCUG 32944, CCTCC AB 2010169, CECT 3043, CGMCC 4.1224, CIP 105487, HAMBI 1926, IFM 0585, IMET 9585, KCTC 9192, MTCC 1120, NCIMB 13469, NRRL B-3843, VKM Ac-809, IFO 13909, NBRC 13909",1,Actinomadura madurae,GCA_900115095,optimum,37
16989,A288,"DSM 44715, NRRL B-24247, JCM 13237, CIP 108410",1,Actinomadura meyerae,GCA_900188445,optimum,28
16986,"FH-A 1198, ID 90-506, FH A 1198","DSM 44197, CIP 108365, NRRL B-24153, HAG 010767, JCM 13238, CPCC 201670",1,Actinomadura namibiensis,GCA_014138665,optimum,28
16950,A19,"DSM 43383, ATCC 33385, JCM 3388, NCTC 4162, CCUG 38891, CIP 105483, HUT 6549, IAM 12634, IMET 9693, IMSNU 22169, KCTC 9110, NBRC 103052, NRRL B-3997",1,Actinomadura pelletieri,GCA_003634705,optimum,28
164563,LD22,"JCM 33455, CCTCC AA 2018050",1,Actinomadura physcomitrii,GCA_008923205,optimum,28
16969,,"DSM 43936, ATCC 33264, IFO 14183, JCM 3309, KCTC 9248, NBRC 14183, NCIMB 12768, NRRL B-16122, VKM Ac-1085, INA 1349, KCC A-0309, MTCC 3035, PCM 2339",1,Actinomadura rifamycini,GCA_000425065,optimum,28
166237,,"LMG 30035, CECT 9808, ATCC 53664",1,Actinomadura roseirufa,GCA_900659635,optimum,28
17003,CS5-AC15,"DSM 45251, KCTC 19559",1,Actinomadura rupiterrae,GCA_024172125,optimum,39.50
16968,,"DSM 44433, IFO 14480, IMET 9742, INMI 187, JCM 3398, JCM 7346, ATCC 33925, BCRC 13638, KCTC 9185, NBRC 100039, NBRC 14480",1,Actinomadura viridilutea,GCA_003001795,optimum,45
16970,2991,"DSM 43750, ATCC 49883, IFO 15178, IMET 9705, JCM 7345, NBRC 15178, BCRC 16817, CIP 105486, IFO 15275, IMSNU 22192, INMI 2991, KCTC 9493, NBRC 15275, VKM Ac-1470",0,Actinomadura viridilutea,GCA_001552235,optimum,55
140372,pika_113,"DSM 104049, CGMCC 4.7372",1,Actinomyces gaoshouyii,GCA_002072175,optimum,30
166249,2129,"CGMCC 4.7483, DSM 106426",1,Actinomyces lilanjuaniae,GCA_003606385,optimum,37
192,4401292,"DSM 23047, CCUG 53522, KCTC 15158, CSUR P18, JCM 16130, CIP 109360",1,Actinomyces massiliensis,GCA_000269805,optimum,37
159350,410,"DSM 106201, CGMCC 1.16361",1,Actinomyces qiguomingii,GCA_004102025,optimum,37
193,7400942,"KCTC 15137, DSM 23838, CCUG 55928, CSUR P35",1,Actinomyces timonensis,GCA_000295095,optimum,37
13499,,"DSM 45062, JCM 15998, NBRC 104400, YIM 0006, CCTCC AA 205017, TBRC 8064",1,Actinomycetospora chiangmaiensis,GCA_000379625,optimum,28
159747,A-T 8314,"TBRC 5722, NBRC 113235",1,Actinomycetospora endophytica,GCA_021026375,optimum,22.50
13512,,"DSM 45499, BCC 31372, NBRC 105245, JCM 17236, TBRC 158",1,Actinophytocola oryzae,GCA_004364325,optimum,23
133108,11-183,"KCTC 39690, MCCC 1K02062, DSM 109075",1,Actinophytocola xanthii,GCA_001921205,optimum,28
7847,A4029,"DSM 45518, KCTC 19984, NRRL B-24835, JCM 19953, NBRC 110796",1,Actinoplanes abujensis,GCA_014204895,optimum,27.50
23114,Y16,"DSM 45850, CGMCC 4.6857, JCM 17700",1,Actinoplanes atraurantiacus,GCA_900215205,optimum,27.5
7798,UNCC 253,"DSM 43031, ATCC 15330, CBS 189.64, IFO 12245, KCC A-0038, NBRC 12245, JCM 3038, BCRC 13631, HAMBI 1975, IFM 1138, IFM 1290, IMET 9034, IMSNU 20021, KCTC 9117, NCIMB 10172, NRRL B-3343, RIA 819, VKM Ac-648, VKM Ac-675",1,Actinoplanes auranticolor,GCA_018332655,optimum,28
7799,"A/672, MB-T 20","DSM 43805, ATCC 25844, KCC A-0196, JCM 3196, BCRC 13340, IFM 1261, IFO 13938, IMSNU 20022, KCTC 9345, NBRC 13938, NCIMB 12642, NRRL B-16714, VKM Ac-1320",1,Actinoplanes brasiliensis,GCA_004362215,optimum,28
7801,UNCC 65,"DSM 43148, ATCC 15348, CBS 190.64, IFO 12511, KCC A-0059, NBRC 12511, JCM 3059, BCRC 12545, CECT 3287, IFM 0124, IFM 1239, IMET 9244, KCTC 9589, MTCC 1981, NCIMB 12889, NRRL B-3344, VKM Ac-1319",1,Actinoplanes campanulatus,GCA_014191935,optimum,28
7830,LA97,"DSM 43942, ATCC 49799, IFO 14913, NBRC 14913, NCIMB 20027, JCM 7624, BCRC 16343, KCTC 9253, KCTC 9657, NRRL B-16688",1,Actinoplanes consettensis,GCA_018332715,optimum,28
7841,GW8-1761,"CCUG 53409, DSM 45050, CIP 109316, JCM 15999, NBRC 106145",1,Actinoplanes couchii,GCA_016862075,optimum,27.5
7816,,"DSM 46137, IFO 14990, IMET 9243, INA 1569, JCM 9082, NBRC 14990, NCIMB 12736, VKM Ac-1095, BCC 49182, BCRC 16342, KCTC 9590, TBRC 174",1,Actinoplanes cyaneus,GCA_016862095,optimum,28
7802,"A/10655, MB-T 21","DSM 43806, ATCC 21983, JCM 3247, KCC A-0247, BCRC 12107, CBS 597.74, CGMCC 4.2098, IFO 13994, IMET 9256, IMSNU 20026, KCTC 9532, MTCC 711, NBRC 13994, NCIMB 12643, NRRL B-16715",1,Actinoplanes deccanensis,GCA_016862115,optimum,28
7831,LA 107,"DSM 43941, ATCC 49798, IFO 14935, NBRC 14935, NCIMB 12875, JCM 7556, IMSNU 20027, IMSNU 22122, KCTC 9254, NRRL B-16692",1,Actinoplanes derwentensis,GCA_016862135,optimum,28
7832,LA 139,"DSM 43939, ATCC 49800, IFO 14914, NBRC 14914, NCIMB 20041, JCM 7625, IMSNU 22124, KCTC 9346, NRRL B-16689",1,Actinoplanes durhamensis,GCA_016862175,optimum,28
7804,"MB-T 22, X-14695","DSM 43807, ATCC 29868, KCC A-0277, JCM 3277, BCC 49183, BCRC 13630, IFO 15555, IMET 9273, IMSNU 22125, KCTC 9255, MTCC 1418, NBRC 15555, NCIMB 12644, NRRL B-16718, TBRC 192",1,Actinoplanes ferrugineus,GCA_016862195,optimum,28
7833,LA 6,"DSM 43938, ATCC 49801, IFO 14915, NBRC 14915, NCIMB 20000, JCM 7555, BCRC 16344, IMSNU 20031, KCTC 9656, NRRL B-16690",1,Actinoplanes humidus,GCA_016862215,optimum,28
7807,A-5221,"DSM 43146, ATCC 27366, KCC A-0165, JCM 3165, BCRC 12530, CCM 2739, CECT 3285, CGMCC 4.1065, IFM 1254, IFO 13911, IMET 9251, IMSNU 22126, KCTC 9534, MTCC 1412, NBIMCC 1475, NBRC 13911, NCIMB 12641, NRRL B-16722",1,Actinoplanes italicus,GCA_003001815,optimum,28
7839,"A/6353, FH 2244","DSM 43865, ATCC 31048, BCRC 12121, CBS 355.75, IFO 13997, IMSNU 22127, JCM 3250, KCC A-0250, KCTC 9536, NBRC 13997, NCIMB 12636, NRRL B-16723, SANK 62178, CGMCC 4.5521",1,Actinoplanes liguriensis,GCA_000715855,optimum,28
7808,UNCC 72,"DSM 43150, ATCC 15350, CBS 192.64, IFO 12513, KCC A-0061, NBRC 12513, JCM 3061, IFM 0126, IFM 1240, IMET 9246, IMSNU 22063, KCTC 9348, NCIMB 12888, NRRL B-3346, VKM Ac-676",1,Actinoplanes lobatus,GCA_014205215,optimum,28
7809,UNCC 431,"DSM 43046, ATCC 14538, CBS 188.64, IFO 13243, KCC A-0121, NBRC 13243, JCM 3121, BCRC 13335, CGMCC 4.1488, IFM 1250, IMET 9249, IMSNU 22051, KCTC 1780, NBIMCC 2232, NBRC 102363, NCIMB 12654, NRRL B-3342, VTT E-82151",1,Actinoplanes missouriensis,GCA_000284295,optimum,28
7834,LA 83,"DSM 43940, ATCC 49797, BCC 55025, IFO 14916, NBRC 14916, NCIMB 20021, TBRC 2208, JCM 7626, BCRC 16347, IMSNU 20038, KCTC 9257, NRRL B-16691",1,Actinoplanes palleronii,GCA_016862315,optimum,28
7811,"LL 7-10 (IMRU 3919), MB-T 24","DSM 43808, ATCC 29234, BCC 60402, IFO 13941, IMRU 3919, KCC A-0194, NBRC 13941, TBRC 2207, JCM 3194, BCRC 13338, IFM 1260, IMET 9276, IMSNU 20041, KCTC 9540, NCIMB 12746, NRRL B-16090",1,Actinoplanes rectilineatus,GCA_000962825,optimum,28
7812,UNCC 79,"DSM 43151, CBS 193.64, IAM 14279, IFO 12514, IMET 9268, JCM 3062, KCC A-0062, NBRC 12514, RIA 821, BCC 49176, HAMBI 1928, IFM 1241, KCTC 9119, NCIMB 12730, NRRL B-3347, TBRC 168, VKM Ac-650",1,Actinoplanes regularis,GCA_016862355,optimum,28
130440,A-T 6646,"DSM 46706, BCC 46194, NBRC 109076",1,Actinoplanes siamensis,GCA_016862395,optimum,27.5
164277,,"JCM 32512, CGMCC 4.7580, LAM 7112",1,Actinoplanes solisilvae,GCA_003999975,optimum,35
7818,"AB 8327, FH 2149","DSM 43866, ATCC 31121, BCRC 12106, FERM P-3462, IFO 13999, IMET 9254, IMSNU 20043, JCM 3252, KCC A-0252, KCTC 9543, NBRC 13999, NCIMB 12640, NRRL B-16726, SANK 60479, BCC 49180, NBIMCC 2300, TBRC 172",1,Actinoplanes teichomyceticus,GCA_003711105,optimum,28
7844,MN07-A0371,"DSM 45572, NBRC 105297, VTCC D9-10",1,Actinoplanes tereljensis,GCA_016862435,optimum,24
7845,MN07-A0368,"DSM 45573, NBRC 105298, VTCC D9-11",1,Actinoplanes toevensis,GCA_018332695,optimum,27.5
7843,03-8772,"DSM 45184, CCM 7527, KCTC 19461, JCM 16606, NBRC 106528",1,Actinoplanes xinjiangensis,GCA_003148685,optimum,28
11160,,"DSM 45243, CCTCC AA 208030, JCM 16897, YIM 48868",1,Actinopolymorpha alba,GCA_000373925,optimum,27.5
11161,"06-2230, I06-2230","DSM 45117, CCM 7466, KCTC 19293, JCM 17964, CPCC 202808",1,Actinopolymorpha cephalotaxi,GCA_013408535,optimum,28
11159,,"DSM 18448, CCTCC AA 206004, JCM 16537, YIM 45725",1,Actinopolymorpha rutila,GCA_013407855,optimum,28
17721,,"DSM 43834, ATCC 27976, IFO 14106, JCM 3278, KCC A-0278, NBRC 14106, NCIB 11472, BCRC 13403, CGMCC 4.1219, IMSNU 20045, IMSNU 21360, KCTC 9127, MTCC 263, NCIMB 11472, VKM Ac-871",1,Actinopolyspora halophila,GCA_000371785,optimum,37
17722,HS-1,"DSM 44261, ATCC 49777, CCRC 13635, IFO 15162, JCM 7550, NBRC 15162, NCIMB 13257, BCRC 13635, CGMCC 4.5630, IMSNU 22093, KCTC 9196, KCTC 9351, VKM Ac-1974",1,Actinopolyspora mortivallis,GCA_000384035,optimum,45
24730,H55,"DSM 45460, CCUG 62965",1,Actinopolyspora mzabensis,GCA_900101095,optimum,30
17634,GE134766,"DSM 44926, NRRL B-24431, JCM 14896, BCRC 16838, NBRC 102107",1,Actinospica acidiphila,GCA_000717315,optimum,28
17635,GE134769,"DSM 44927, JCM 14908, NRRL B-24432, BCRC 16839, NBRC 102112",1,Actinospica robiniae,GCA_000504285,optimum,25.00
13211,101,"DSM 43827, ATCC 29888, IAM 14280, IFO 14064, IMET 9740, IMRU 3971, JCM 3225, KCC A-0225, NBRC 14064, BCRC 13449, IMSNU 20048, KCTC 9125, KCTC 9184, NCIMB 13271, NRRL B-12336, VKM Ac-843",1,Actinosynnema mirum,GCA_000023245,optimum,28
13213,,"DSM 44132, ATCC 31281, FERM P-3992, IFO 13726, JCM 7344, NBRC 13726, BCRC 13428, CGMCC 4.1703, IFO 15621, IMSNU 21346, KCTC 9499, NBRC 15621, NRRL B-16060, VKM Ac-1963",1,Actinosynnema pretiosum subsp. pretiosum,GCA_024171695,optimum,28
133106,EBR-4-2,"KCTC 33604, JCM 30447",1,Actinotalea caeni,GCA_009733795,optimum,30
2385,M,"DSM 3133, ATCC 43279, CFBP 4259, CIP 103003, JCM 9966, LMG 16154, NBRC 105374, NBRC 15517, BCRC 14866, IFO 15517, KCTC 3251, LMG 17239",1,Actinotalea fermentans,GCA_000767215,optimum,28
133962,CF5-4,"KCTC 29134, CCTCC AB 2012198, DSM 112671, JCM 31479",1,Actinotalea ferrariae,GCA_000603945,optimum,28
158625,THG-T121,"KACC 19191, CGMCC 4.7389, JCM 32747",1,Actinotalea solisilvae,GCA_016464425,optimum,29.00
159835,J103,"DSM 104434, MCCC 1K03288",1,Acuticoccus kandeliae,GCA_003073115,optimum,27.50
166457,PTG4-2,"MCCC 1A01274, KCTC 52323",1,Acuticoccus sediminis,GCA_003258595,optimum,30
133587,6515J-31,"KACC 14117, NBRC 106133",1,Adhaeribacter aerolatus,GCA_007991635,optimum,30
3764,MBRG1.5,"DSM 16391, NCIMB 14008",1,Adhaeribacter aquaticus,GCA_000473365,optimum,30
158784,17mud1-7,"KCTC 52873, NBRC 112824",1,Adhaeribacter swui,GCA_014217805,optimum,28
22982,NR06,"DSM 22242, CCUG 57646, KCTC 15365",1,Adlercreutzia caecicola,GCA_003725335,optimum,37
3077,B7,"DSM 21839, CCUG 56815",1,Adlercreutzia caecimuris,GCA_000403355,optimum,37
3076,Mt1B8,"DSM 19490, CCUG 54980",1,Adlercreutzia mucosicola,GCA_000422625,optimum,35
132905,M-07,"DSM 104993, JCM 17746, KCTC 23732",1,Advenella faeciporci,GCA_014652395,optimum,30
383,WT001,"DSM 17095, LMG 22965, MTCC 7002",1,Advenella kashmirensis,GCA_000219915,optimum,26
384,DPN7,"DSM 17166, LMG 22922",1,Advenella mimigardefordensis,GCA_000521505,optimum,33.50
160122,Pan181,"DSM 29370, LMG 31346, CECT 9840, VKM B-3426",1,Aeoliella mucimassa,GCA_007748035,optimum,28
166411,,"KACC 15529, NBRC 108213, IMCC 3088",1,Aequoribacter fuscus,GCA_009910365,optimum,25
140229,D-24,"DSM 101732, KCTC 42708",1,Aequorivita aquimaris,GCA_001573155,optimum,37
5479,A71,"DSM 23843, JCM 15070, KCTC 22183",1,Aequorivita capsosiphonis,GCA_000429125,optimum,25
24014,8-1b,"DSM 26349, CGMCC 1.11023, JCM 18497",1,Aequorivita viscosa,GCA_900106795,optimum,30
158560,N.8,"KCTC 33824, JCM 31580",1,Aeribacillus composti,GCA_007827555,optimum,60
1766,T6,"DSM 22365, LMG 21773, NCIMB 13939, JCM 15959",1,Aeriscardovia aeriphila,GCA_002259595,optimum,37
222,PUE,"CCUG 28094, CIP 103442, NCIMB 701636, DSM 20341, ATCC 29723, JCM 12519, NCDO 1636, LMG 11420, LMG 13989",1,Aerococcus urinaeequi,GCA_000425085,optimum,27.50
133328,9H-4,"ZIM B1021, LMG 29165, CCM 8650, JCM 32379",1,Aeromicrobium choanae,GCA_900167475,optimum,30.00
168559,M2KJ-4,"KCTC 49174, CGMCC 1.13666",1,Aeromicrobium endophyticum,GCA_003586285,optimum,25
11055,,"DSM 8599, ATCC 51598, NRRL B-3381, JCM 8359, GTC 01565, IFO 15406, KCCM 41104, KCTC 9586, LMG 16472, NBRC 15406, NCIMB 13258",1,Aeromicrobium erythreum,GCA_001509405,optimum,37
11056,J41,"DSM 10552, ATCC 49363, IFO 14897, NBRC 14897, NCIMB 12713, CCUG 35026, LMG 16205, JCM 8088, IMSNU 22010, KCCM 41090, KCTC 9576, VKM Ac-1324",1,Nocardioides fastidiosus,GCA_004134885,optimum,28
11064,"TYLN1, TYLNI","DSM 19355, CCTCC AB 206046, JCM 16538, NBRC 107625, CIP 110459",1,Aeromicrobium flavum,GCA_007992115,optimum,28
11062,,"DSM 22238, JCM 14732, KCTC 19207, GBS 39, Gsoil 098",1,Aeromicrobium ginsengisoli,GCA_004134905,optimum,30
159668,,"DSM 105424, NBRC 112936, CPCC 204604",1,Aeromicrobium lacus,GCA_003426855,optimum,28
11063,SSW1-57,"DSM 19087, JCM 13811, NRRL B-24466, CIP 109549",1,Aeromicrobium tamlense,GCA_013408555,optimum,30
280,868E,"DSM 19111, CECT 7113, LMG 23376, CIP 109539",1,Aeromonas bivalvium,GCA_000819765,optimum,33.50
272,A55,"DSM 18362, CECT 7289, LMG 24688, MDC 47",0,Aeromonas dhakensis,GCA_000819705,optimum,33.5
